"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"09.12.2019";"100%";"825b54d58643a058c0190b51972da3a6";"432aa49821ab785e";"89953";"Thu Jun 18 13:36:17 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"20.12.2018";"100%";"825b54d58643a058c0190b51972da3a6";"cdf6051dd06ffa33";"89953";"Thu Jun 18 13:36:17 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"10.08.2017";"98%";"825b54d58643a058c0190b51972da3a6";"0fffabb567ace993";"89953";"Thu Jun 18 13:36:17 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"26.07.2016";"98%";"825b54d58643a058c0190b51972da3a6";"ddf0373671d410d8";"89953";"Thu Jun 18 13:36:17 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"28.10.2015";"98%";"825b54d58643a058c0190b51972da3a6";"707299dbd769cb46";"89953";"Thu Jun 18 13:36:17 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"03.09.2014";"98%";"825b54d58643a058c0190b51972da3a6";"a0beff8e38377b95";"89953";"Thu Jun 18 13:36:17 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"16.08.2013";"98%";"825b54d58643a058c0190b51972da3a6";"cf73f19af0c86517";"89953";"Thu Jun 18 13:36:17 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"06.11.2012";"98%";"825b54d58643a058c0190b51972da3a6";"c4be3fec6600fc77";"89953";"Thu Jun 18 13:36:17 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"15.08.2011";"98%";"825b54d58643a058c0190b51972da3a6";"091492369cfce1bf";"89953";"Thu Jun 18 13:36:17 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"23.08.2010";"98%";"825b54d58643a058c0190b51972da3a6";"8b417c61205aaffc";"89953";"Thu Jun 18 13:36:17 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"01.09.2009";"98%";"825b54d58643a058c0190b51972da3a6";"856a570ab953c12a";"89953";"Thu Jun 18 13:36:17 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"14.08.2008";"98%";"825b54d58643a058c0190b51972da3a6";"05c275dd98b0d506";"89953";"Thu Jun 18 13:36:17 2020"
"RIWA GmbH,  Gesellschaft für Geoinformationen Kempten Allgäu";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"22.08.2007";"98%";"825b54d58643a058c0190b51972da3a6";"886e158ad430f6de";"89953";"Thu Jun 18 13:36:17 2020"
