"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"alta4 AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"12.12.2018";"100%";"825b54d58643a058c0190b51972da3a6";"0652ae82781ecf57";"41862";"Thu Jun 18 13:36:14 2020"
"alta4 AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"22.01.2018";"92%";"825b54d58643a058c0190b51972da3a6";"62570ac3c6339924";"41862";"Thu Jun 18 13:36:14 2020"
"alta4 AG (vormals: alta4 Geoinformatik AG) Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"12.05.2016";"92%";"825b54d58643a058c0190b51972da3a6";"ce1dabb98cc0c0ed";"41862";"Thu Jun 18 13:36:14 2020"
"alta4 AG (vormals: alta4 Geoinformatik  AG) Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"07.08.2015";"92%";"825b54d58643a058c0190b51972da3a6";"3a3ee7e97e8d1d6a";"41862";"Thu Jun 18 13:36:14 2020"
"alta4 AG (vormals: alta4 Geoinformatik  AG) Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"24.03.2014";"92%";"825b54d58643a058c0190b51972da3a6";"9f8a32977b57856f";"41862";"Thu Jun 18 13:36:14 2020"
"alta4 Geoinformatik  AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"09.04.2013";"92%";"825b54d58643a058c0190b51972da3a6";"fc1f1a5cc60d4e9c";"41862";"Thu Jun 18 13:36:14 2020"
"alta4 Geoinformatik  AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"06.02.2013";"92%";"825b54d58643a058c0190b51972da3a6";"4350b06a67f62340";"41862";"Thu Jun 18 13:36:14 2020"
"alta4 Geoinformatik  AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"01.12.2011";"92%";"825b54d58643a058c0190b51972da3a6";"abcc6b6caf1dcb2e";"41862";"Thu Jun 18 13:36:14 2020"
"alta4 Geoinformatik  AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"03.11.2010";"92%";"825b54d58643a058c0190b51972da3a6";"546e0a96467cd1f9";"41862";"Thu Jun 18 13:36:14 2020"
"alta4 Geoinformatik  AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"19.06.2009";"92%";"825b54d58643a058c0190b51972da3a6";"6bd28eca9234c117";"41862";"Thu Jun 18 13:36:14 2020"
"alta4 Geoinformatik AG Verarbeitung raumbezogener Informationen Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"02.12.2008";"92%";"825b54d58643a058c0190b51972da3a6";"7624d0f7e73956db";"41862";"Thu Jun 18 13:36:14 2020"
"alta4 Geoinformatik AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"17.12.2007";"92%";"825b54d58643a058c0190b51972da3a6";"cf991066d0b2b264";"41862";"Thu Jun 18 13:36:14 2020"
