"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"1601.communication GmbH Erlangen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"16.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"3bee22593599646b";"72926";"Wed Jul  8 22:57:58 2020"
"1601.communication GmbH Erlangen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"23.04.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c1b1f41a401fed37";"72926";"Wed Jul  8 22:57:58 2020"
"1601.communication GmbH Erlangen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"16.01.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f4e232852012454c";"72926";"Wed Jul  8 22:57:58 2020"
"1601.communication GmbH Erlangen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"23.12.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"02e56e6ce61503bc";"72926";"Wed Jul  8 22:57:58 2020"
"1601.communication GmbH Erlangen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"08.01.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"03f024df00a39522";"72926";"Wed Jul  8 22:57:58 2020"
"1601.communication GmbH Erlangen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"29.01.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"9b41158f8a09b260";"72926";"Wed Jul  8 22:57:58 2020"
"1601.communication GmbH Erlangen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"05.01.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3546e275b196a8d3";"72926";"Wed Jul  8 22:57:58 2020"
"1601.communication GmbH Erlangen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"21.01.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"08055887c3635998";"72926";"Wed Jul  8 22:57:58 2020"
"1601.communication GmbH Erlangen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"09.02.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"831b5832d557d3c2";"72926";"Wed Jul  8 22:57:58 2020"
"1601.communication GmbH Erlangen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2007 bis zum 31.12.2007";"27.02.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d4935b552c795a57";"72926";"Wed Jul  8 22:57:58 2020"
