"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"1st Vision GmbH- Handels- und Dienstleistungspartner für Information und Kommunikation. Schwaig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"09.01.2020";"97%";"0d747c0b2dd5781887ce3d83356491d9";"00ac8ba1be47b777";"00270";"Wed Jul  8 23:38:31 2020"
"1st Vision GmbH- Handels- und Dienstleistungspartner für Information und Kommunikation. Schwaig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"07.01.2019";"97%";"0d747c0b2dd5781887ce3d83356491d9";"540c84580004a929";"00270";"Wed Jul  8 23:38:31 2020"
"1st Vision GmbH- Handels- und Dienstleistungspartner für Information und Kommunikation. Schwaig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"09.02.2018";"96%";"0d747c0b2dd5781887ce3d83356491d9";"ec28718973ef7d0a";"00270";"Wed Jul  8 23:38:31 2020"
"1st Vision GmbH- Handels- und Dienstleistungspartner für Information und Kommunikation. Schwaig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"23.01.2017";"96%";"0d747c0b2dd5781887ce3d83356491d9";"68dc6cb7a585c6e3";"00270";"Wed Jul  8 23:38:31 2020"
"1st Vision GmbH- Handels- und Dienstleistungspartner für Information und Kommunikation. Schwaig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"26.01.2016";"96%";"0d747c0b2dd5781887ce3d83356491d9";"aa77f85baf63dfaa";"00270";"Wed Jul  8 23:38:31 2020"
"1st Vision GmbH- Handels- und Dienstleistungspartner für Information und Kommunikation. Schwaig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"03.02.2015";"96%";"0d747c0b2dd5781887ce3d83356491d9";"610b8fce57b121ad";"00270";"Wed Jul  8 23:38:31 2020"
"1st Vision GmbH- Handels- und Dienstleistungspartner für Information und Kommunikation. Schwaig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"12.01.2015";"96%";"0d747c0b2dd5781887ce3d83356491d9";"8923523b86f7b91d";"00270";"Wed Jul  8 23:38:31 2020"
"1st Vision GmbH- Handels- und Dienstleistungspartner für Information und Kommunikation. Schwaig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"04.04.2013";"96%";"0d747c0b2dd5781887ce3d83356491d9";"62fb7a50f327b253";"00270";"Wed Jul  8 23:38:31 2020"
"1st Vision GmbH- Handels- und Dienstleistungspartner für Information und Kommunikation. Schwaig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"07.03.2012";"96%";"0d747c0b2dd5781887ce3d83356491d9";"b33ea79c333b439e";"00270";"Wed Jul  8 23:38:31 2020"
"1st Vision GmbH- Handels- und Dienstleistungspartner für Information und Kommunikation. Schwaig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"10.03.2011";"96%";"0d747c0b2dd5781887ce3d83356491d9";"562e46ab8adb1e5c";"00270";"Wed Jul  8 23:38:31 2020"
"1st Vision GmbH- Handels- und Dienstleistungspartner für Information und Kommunikation. Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"01.02.2010";"96%";"0d747c0b2dd5781887ce3d83356491d9";"5bc0b9eb3bcff2f0";"00270";"Wed Jul  8 23:38:31 2020"
"1st Vision GmbH- Handels- und Dienstleistungspartner für Information und Kommunikation. Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"26.01.2009";"96%";"0d747c0b2dd5781887ce3d83356491d9";"45f18f6920843f35";"00270";"Wed Jul  8 23:38:31 2020"
