"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"3 F Management GmbH Bad Arolsen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"40c0aacfc8f44f13";"91762";"Wed Jul  8 22:30:40 2020"
"3 F Management GmbH Bad Arolsen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"07.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b37fa67e6714f46e";"91762";"Wed Jul  8 22:30:40 2020"
"3 F Management GmbH Bad Arolsen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"23.10.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"026435d372e42174";"91762";"Wed Jul  8 22:30:40 2020"
"3 F Management GmbH Bad Arolsen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"18.01.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"b6a4319218f5bffe";"91762";"Wed Jul  8 22:30:40 2020"
"3 F Management GmbH Bad Arolsen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"13.01.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"b4ae56d250e6ffb4";"91762";"Wed Jul  8 22:30:40 2020"
"3 F Management GmbH Bad Arolsen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"20.01.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"c7cc43322ea07ee9";"91762";"Wed Jul  8 22:30:40 2020"
"3 F Management GmbH Bad Arolsen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"07.01.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"531fc019b454b2e2";"91762";"Wed Jul  8 22:30:40 2020"
"3 F Management GmbH Bad Arolsen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"16.01.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"d6aa15119cdde1a5";"91762";"Wed Jul  8 22:30:40 2020"
"BITUNOVA GmbH (Düsseldorf),  DYWIDAG International GmbH (München),  Eichholz Eivel GmbH (Berlin),  Fahrleitungsbau GmbH (Essen),  F. Kirchhoff GmbH (Leinfelden-Echterdingen),  Josef Möbius Bau - GmbH (Hamburg),  JUKA Justizzentrum Kurfürstenanlage GmbH (Köln),  MOBIL Baustoffe GmbH (München),  Off-Shore Wind Logistik GmbH (Stuttgart),  STRABAG Facility Management GmbH (Nürnberg),  STRABAG International GmbH (Köln),  STRABAG Offshore Wind GmbH (Cuxhaven),  STRABAG Property and Facility Services GmbH (Münster),  STRABAG Rail Fahrleitungen GmbH (Berlin),  STRABAG Rail GmbH (Lauda-Königshofen),  STRABAG Umweltanlagen GmbH (Dresden) Hoppegarten";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011 Ilbau Liegenschaftsverwaltung GmbH (Hoppegarten)";"28.08.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"27ef18bae9cd02e5";"91762";"Wed Jul  8 22:30:40 2020"
"3 F Management GmbH Bad Arolsen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"21.12.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"96df00fc40ccef9e";"91762";"Wed Jul  8 22:30:40 2020"
