"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"AFM Entsorgungsbetriebe GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"08.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"3fbd89e0cfd9044f";"32688";"Wed Jul  8 22:58:57 2020"
"AFM Entsorgungsbetriebe GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"27.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"27b7fa71cf29b4ce";"32688";"Wed Jul  8 22:58:57 2020"
"AFM Entsorgungsbetriebe GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"10.01.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f0f0974c21e5eae2";"32688";"Wed Jul  8 22:58:57 2020"
"AFM Entsorgungsbetriebe GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"06.03.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"9c68d8ce08ec54d9";"32688";"Wed Jul  8 22:58:57 2020"
"AFM Entsorgungsbetriebe GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 Berichtigung der Veröffentlichung vom 21.12.2015";"08.03.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f5945e1b02bc0564";"32688";"Wed Jul  8 22:58:57 2020"
"AFM Entsorgungsbetriebe GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 Berichtigt am 08.03.2016";"21.12.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e6a8f514935b6591";"32688";"Wed Jul  8 22:58:57 2020"
"AFM Entsorgungsbetriebe GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"16.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"70239c2f93ce664e";"32688";"Wed Jul  8 22:58:57 2020"
"AFM Entsorgungsbetriebe GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"04.02.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a678620d61328867";"32688";"Wed Jul  8 22:58:57 2020"
"AFM Entsorgungsbetriebe GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"13.05.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"603c846962e3a1af";"32688";"Wed Jul  8 22:58:57 2020"
"AFM Entsorgungsbetriebe GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"05.01.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8112454ab2244924";"32688";"Wed Jul  8 22:58:57 2020"
"AFM Entsorgungsbetriebe GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"30.11.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"02dc6d9ffc42a8b6";"32688";"Wed Jul  8 22:58:57 2020"
"AFM Entsorgungsbetriebe GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"27.01.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"232f2407c85f3bca";"32688";"Wed Jul  8 22:58:57 2020"
"AFM Entsorgungsbetriebe GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"03.02.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"736cf3bcc6d05176";"32688";"Wed Jul  8 22:58:57 2020"
"AFM ENTSORGUNGSBETRIEBE GMBH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"23.01.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"870a83aadec93179";"32688";"Wed Jul  8 22:58:57 2020"
