"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"AKDV Automatisierungstechnik GmbH Harsum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"26.11.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"34e1521bc0eeb7cb";"26553";"Wed Jul  8 23:44:39 2020"
"AKDV Automatisierungstechnik GmbH Harsum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"27.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ca30903d6549805e";"26553";"Wed Jul  8 23:44:39 2020"
"AKDV Automatisierungstechnik GmbH Harsum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"20.11.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3ce144527724a665";"26553";"Wed Jul  8 23:44:39 2020"
"AKDV Automatisierungstechnik GmbH Harsum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"22.11.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"409abe76bfdef73d";"26553";"Wed Jul  8 23:44:39 2020"
"AKDV Automatisierungstechnik GmbH Harsum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"04.12.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"43c6651ee01c4a74";"26553";"Wed Jul  8 23:44:39 2020"
"AKDV Automatisierungstechnik GmbH Harsum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"19.09.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"89df833b7b0c0683";"26553";"Wed Jul  8 23:44:39 2020"
"AKDV Automatisierungstechnik GmbH Harsum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"19.09.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"4201775f38995a69";"26553";"Wed Jul  8 23:44:39 2020"
"AKDV Automatisierungstechnik GmbH Harsum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"06.11.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"cc93b2446093abcf";"26553";"Wed Jul  8 23:44:39 2020"
"AKDV Automatisierungstechnik GmbH Harsum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"07.09.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b9210264f6ab56fa";"26553";"Wed Jul  8 23:44:39 2020"
"AKDV Automatisierungstechnik GmbH Harsum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"19.10.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"569d142f69944e82";"26553";"Wed Jul  8 23:44:39 2020"
"AKDV Automatisierungstechnik GmbH Harsum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"14.12.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"bf1c40bf549877fa";"26553";"Wed Jul  8 23:44:39 2020"
"AKDV Automatisierungstechnik GmbH Harsum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"22.12.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"cec82ebaedfbce65";"26553";"Wed Jul  8 23:44:39 2020"
"AKDV Automatisierungstechnik GmbH Harsum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"24.01.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"5aba2cc00ec5fa02";"26553";"Wed Jul  8 23:44:39 2020"
