"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ASDIS Solutions GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.02.2018 bis zum 30.09.2018";"18.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"aba4f85992855196";"41495";"Wed Jul  8 23:54:12 2020"
"ASDIS Solutions GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2017 bis zum 31.01.2018";"15.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"806d66f92d2f9f83";"41495";"Wed Jul  8 23:54:12 2020"
"ASDIS Solutions GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2016 bis zum 30.06.2017";"06.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"78e85d2daa5468c9";"41495";"Wed Jul  8 23:54:12 2020"
"ASDIS Solutions GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2015 bis zum 30.06.2016";"01.12.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e35ba0ba4ea33fbd";"41495";"Wed Jul  8 23:54:12 2020"
"ASDIS Solutions GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2014 bis zum 30.06.2015";"06.07.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"665fa73e3abdbc0d";"41495";"Wed Jul  8 23:54:12 2020"
"ASDIS Solutions GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 30.06.2014";"08.07.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b5b9bb2380e05f3d";"41495";"Wed Jul  8 23:54:12 2020"
"ASDIS Solutions GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"01.07.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"4e3119310b5c3a06";"41495";"Wed Jul  8 23:54:12 2020"
"ASDIS Solutions GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"08.01.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"eb3c7272e9b2f6be";"41495";"Wed Jul  8 23:54:12 2020"
"ASDIS Solutions GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"30.01.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8b1ed287b5b3d30c";"41495";"Wed Jul  8 23:54:12 2020"
"ASDIS Solutions GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 04.03.2010 bis zum 31.12.2010";"06.02.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3a81e0872f154cc5";"41495";"Wed Jul  8 23:54:12 2020"
