"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Global ASIC GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 30.05.2018 bis zum 29.05.2019";"02.07.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fc7b68d03c58fc74";"04085";"Wed Jul  8 23:42:28 2020"
"SMT/ASIC/Hybrid MESAGO Messe & Kongreß GmbH & Co. oHG Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"23.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1c69180de4819819";"04085";"Wed Jul  8 23:42:28 2020"
"concept engineering GmbH ASIC- und Softwaretechnologie Freiburg im Breisgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.11.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5de3b065384fc24a";"04085";"Wed Jul  8 23:42:28 2020"
"ASIC GmbH lineare Systeme Egmating";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"30.09.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"13fcc556d956d2b6";"04085";"Wed Jul  8 23:42:28 2020"
"AMAC ASIC-und Mikrosensoranwendung Chemnitz GmbH Chemnitz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.09.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9fb41b6c51697511";"04085";"Wed Jul  8 23:42:28 2020"
"Global ASIC GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 29.05.2018";"18.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6ba752b59b0d3df7";"04085";"Wed Jul  8 23:42:28 2020"
"Global ASIC GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Liquidationseröffnungsbilanz zum 30.05.2018";"16.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fbbba21e9b370765";"04085";"Wed Jul  8 23:42:28 2020"
"Global ASIC GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 03.06.2018";"11.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a026e7de6cfc0a6d";"04085";"Wed Jul  8 23:42:28 2020"
"concept engineering GmbH ASIC- und Softwaretechnologie Freiburg im Breisgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"08.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"89e7b266b69300d7";"04085";"Wed Jul  8 23:42:28 2020"
"ASIC GmbH lineare Systeme Egmating (vormals: Tuntenhausen)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"29.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"442a31a465085cd6";"04085";"Wed Jul  8 23:42:28 2020"
