"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ASL - Alles Saubere Leistung - GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"16.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1025410c956b31df";"48607";"Wed Jul  8 23:05:37 2020"
"ASL - Alles Saubere Leistung - GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"25.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"bdb0d6c57fda7403";"48607";"Wed Jul  8 23:05:37 2020"
"ASL - Alles Saubere Leistung - GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"26.01.2018";"98%";"0d747c0b2dd5781887ce3d83356491d9";"db1f6082eb29c2a8";"48607";"Wed Jul  8 23:05:37 2020"
"ASL - Alles Saubere Leistung - GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"30.01.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"caeb4a5468975a8f";"48607";"Wed Jul  8 23:05:37 2020"
"ASL - Alles Saubere Leistung - GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"14.08.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"7fb1229c4d5671d8";"48607";"Wed Jul  8 23:05:37 2020"
"ASL - Alles Saubere Leistung - GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"26.01.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"7cb4789231d41741";"48607";"Wed Jul  8 23:05:37 2020"
"ASL - Alles Saubere Leistung - GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"06.02.2014";"98%";"0d747c0b2dd5781887ce3d83356491d9";"da4fb5d999f371db";"48607";"Wed Jul  8 23:05:37 2020"
"ASL - Alles Saubere Leistung - GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"22.01.2013";"98%";"0d747c0b2dd5781887ce3d83356491d9";"51d4f526b5a30c53";"48607";"Wed Jul  8 23:05:37 2020"
"ASL - Alles Saubere Leistung - GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"22.12.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"5c387e7c245e8689";"48607";"Wed Jul  8 23:05:37 2020"
"ASL - Alles Saubere Leistung - GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"19.01.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"e7150b1b0b634721";"48607";"Wed Jul  8 23:05:37 2020"
"ASL - Alles Saubere Leistung - GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.02.2008 bis zum 31.12.2008";"02.02.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"323aec641160a461";"48607";"Wed Jul  8 23:05:37 2020"
