"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ATRIVIO GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b5b97c866ee88162";"54861";"Thu Jul  9 00:06:21 2020"
"ATRIVIO GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"25.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"34959c41a7673a40";"54861";"Thu Jul  9 00:06:21 2020"
"ATRIVIO GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"14.03.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c7463b908569bceb";"54861";"Thu Jul  9 00:06:21 2020"
"ATRIVIO GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"30.01.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"5639adaf7f8c8afa";"54861";"Thu Jul  9 00:06:21 2020"
"ATRIVIO GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"26.01.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"26372d4d8dd165f1";"54861";"Thu Jul  9 00:06:21 2020"
"ATRIVIO GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"25.02.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e6476b4a13115983";"54861";"Thu Jul  9 00:06:21 2020"
"ATRIVIO GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"17.02.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"caa0420fe303fd71";"54861";"Thu Jul  9 00:06:21 2020"
"ATRIVIO GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"01.02.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b4ab3750cdf8b58b";"54861";"Thu Jul  9 00:06:21 2020"
"ATRIVIO GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"23.02.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a6575168600f5688";"54861";"Thu Jul  9 00:06:21 2020"
"ATRIVIO GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"31.01.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2184c972bdb25948";"54861";"Thu Jul  9 00:06:21 2020"
"ATRIVIO GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"10.03.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"1b7353c3b9691516";"54861";"Thu Jul  9 00:06:21 2020"
"ATRIVIO GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss";"13.02.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"acb97fff99ec5147";"54861";"Thu Jul  9 00:06:21 2020"
"ATRIVIO GmbH Kempten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"07.03.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ad9d0aba288c9f95";"54861";"Thu Jul  9 00:06:21 2020"
