"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ATS Gesellschaft für angewandte technische Systeme mbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"18.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"91bafb2b8c1d69ae";"72107";"Wed Jul  8 23:56:08 2020"
"ATS Gesellschaft für angewandte technische Systeme mbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"12.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f901a5d5f4402cda";"72107";"Wed Jul  8 23:56:08 2020"
"ATS Gesellschaft für angewandte technische Systeme mbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"25.01.2018";"99%";"0d747c0b2dd5781887ce3d83356491d9";"6394c68215bac045";"72107";"Wed Jul  8 23:56:08 2020"
"ATS Gesellschaft für angewandte technische Systeme mbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"18.08.2016";"99%";"0d747c0b2dd5781887ce3d83356491d9";"cc18b2863f4d975e";"72107";"Wed Jul  8 23:56:08 2020"
"ATS Gesellschaft für angewandte technische Systeme mbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"28.09.2015";"99%";"0d747c0b2dd5781887ce3d83356491d9";"ebc80fb9d53ee5ea";"72107";"Wed Jul  8 23:56:08 2020"
"ATS Gesellschaft für angewandte technische Systeme mbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"23.02.2015";"99%";"0d747c0b2dd5781887ce3d83356491d9";"e5660729714fa145";"72107";"Wed Jul  8 23:56:08 2020"
"ATS Gesellschaft für angewandte technische Systeme mbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"31.01.2014";"99%";"0d747c0b2dd5781887ce3d83356491d9";"33cec91ca746c6d0";"72107";"Wed Jul  8 23:56:08 2020"
"ATS Gesellschaft für angewandte technische Systeme mbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"18.02.2013";"99%";"0d747c0b2dd5781887ce3d83356491d9";"45da110b35056f00";"72107";"Wed Jul  8 23:56:08 2020"
"ATS Gesellschaft für angewandte technische Systeme mbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"01.07.2011";"99%";"0d747c0b2dd5781887ce3d83356491d9";"ab4cae58da4151ee";"72107";"Wed Jul  8 23:56:08 2020"
"ATS Gesellschaft für angewandte technische Systeme mbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"31.05.2010";"99%";"0d747c0b2dd5781887ce3d83356491d9";"c9d1b44e37b56bfc";"72107";"Wed Jul  8 23:56:08 2020"
"ATS Gesellschaft für angewandte technische Systeme mbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"14.01.2010";"99%";"0d747c0b2dd5781887ce3d83356491d9";"610600fa596961c8";"72107";"Wed Jul  8 23:56:08 2020"
"ATS Gesellschaft für angewandte technische Systeme mbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"14.01.2009";"99%";"0d747c0b2dd5781887ce3d83356491d9";"7a7e61c1e8c6e04e";"72107";"Wed Jul  8 23:56:08 2020"
"ATS Gesellschaft für angewandte technische Systeme mbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"30.11.2007";"99%";"0d747c0b2dd5781887ce3d83356491d9";"6f9ccfe00cabfe40";"72107";"Wed Jul  8 23:56:08 2020"
"DEUTSCHE BANK AKTIENGESELLSCHAFT Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Quartalsfinanzbericht zum 30. September 2016";"30.11.2016";"2%";"0d747c0b2dd5781887ce3d83356491d9";"234ff3d0828e524c";"72107";"Wed Jul  8 23:56:08 2020"
"DEUTSCHE BANK AKTIENGESELLSCHAFT Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Halbjahresfinanzbericht zum 30. Juni 2016";"30.08.2016";"2%";"0d747c0b2dd5781887ce3d83356491d9";"b3ae854e7e1d9448";"72107";"Wed Jul  8 23:56:08 2020"
"DEUTSCHE BANK AKTIENGESELLSCHAFT Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Quartalsfinanzbericht 31. März 2016";"18.05.2016";"2%";"0d747c0b2dd5781887ce3d83356491d9";"220877bd4a9e2183";"72107";"Wed Jul  8 23:56:08 2020"
