"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Auctus Capital Partners AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"02.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"81b1454e326205e2";"93152";"Wed Jul  8 22:31:53 2020"
"Auctus Capital Partners AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"08.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9bca6b136650f06f";"93152";"Wed Jul  8 22:31:53 2020"
"Auctus Capital Partners AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"13.02.2018";"97%";"0d747c0b2dd5781887ce3d83356491d9";"57232fc00245a2c6";"93152";"Wed Jul  8 22:31:53 2020"
"Auctus Capital Partners AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"13.03.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"84811da6a2f4034b";"93152";"Wed Jul  8 22:31:53 2020"
"Auctus Capital Partners AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"27.01.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"f8d57b84a441520c";"93152";"Wed Jul  8 22:31:53 2020"
"Auctus Capital Partners AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"04.03.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"c2ef3fcbe22e8f72";"93152";"Wed Jul  8 22:31:53 2020"
"Auctus Capital Partners AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"20.12.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"99e1cf2cb7439ac8";"93152";"Wed Jul  8 22:31:53 2020"
"Auctus Capital Partners AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"10.01.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"a7e7f6ef4835ee57";"93152";"Wed Jul  8 22:31:53 2020"
"Auctus Capital Partners AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"27.03.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"2247791e685e66a3";"93152";"Wed Jul  8 22:31:53 2020"
"Auctus Capital Partners AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 20.08.2009 bis zum 31.12.2009";"08.02.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"5152ea85951777c8";"93152";"Wed Jul  8 22:31:53 2020"
