"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"AWO Seniorenzentrum Hagenbeckstraße gGmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.03.2019";"20.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5479cc39ff19abbb";"01237";"Wed Jul  8 22:58:46 2020"
"AWO Seniorenzentrum Hagenbeckstraße gGmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Liquidationseröffnungsbilanz zum 01.04.2019";"09.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9146577b5a458f73";"01237";"Wed Jul  8 22:58:46 2020"
"AWO Seniorenzentrum Windorf GmbH Windorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"10.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c78c502656e2c555";"01237";"Wed Jul  8 22:58:46 2020"
"AWO Seniorenzentrum ""Am Rosengarten"" gemeinnützige GmbH Naumburg (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f9ea89bd810d42e4";"01237";"Wed Jul  8 22:58:46 2020"
"AWO Seniorenzentrum Bundschuh gGmbH Bruchsal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"18.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"3585bea0e261e4e3";"01237";"Wed Jul  8 22:58:46 2020"
"AWO Seniorenzentrum Am Hag gGmbH Bruchsal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"18.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2dd63fa44093c097";"01237";"Wed Jul  8 22:58:46 2020"
"AWO Seniorenzentrum Hagenbeckstraße gGmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"08.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9866e31f0a8034a9";"01237";"Wed Jul  8 22:58:46 2020"
"AWO Seniorenzentrum Wutöschingen gGmbH Wutöschingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0239312be4e409ba";"01237";"Wed Jul  8 22:58:46 2020"
"AWO Seniorenzentrum Mümmelmannsberg gGmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"11.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b53830e8f1f920b9";"01237";"Wed Jul  8 22:58:46 2020"
"AWO Seniorenzentrum Zepziger Weg GmbH (Bernburg (Saale)) Magdeburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 AWO Soziale Dienste Sachsen-Anhalt GmbH (Magdeburg)";"09.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"d0c9b38243da5041";"01237";"Wed Jul  8 22:58:46 2020"
