"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Abiant GmbH & Co. KG Moormerland";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.06.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1b450f7772647f00";"24269";"Wed Jul  8 23:00:43 2020"
"Abiant Technik GmbH & Co. KG Moormerland";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"26.06.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6fff178a263faead";"24269";"Wed Jul  8 23:00:43 2020"
"Abiant Technik GmbH & Co. KG Moormerland";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"07.05.2018";"97%";"0d747c0b2dd5781887ce3d83356491d9";"e212ee02933f346a";"24269";"Wed Jul  8 23:00:43 2020"
"Abiant GmbH & Co. KG Moormerland";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"27.04.2018";"97%";"0d747c0b2dd5781887ce3d83356491d9";"aeecc649d6f4eb0c";"24269";"Wed Jul  8 23:00:43 2020"
"Abiant GmbH & Co. KG Moormerland";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"04.07.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"d7d403dd7fbd6bf0";"24269";"Wed Jul  8 23:00:43 2020"
"Abiant Technik GmbH & Co. KG Moormerland";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"26.06.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"b506e7f17b2d3ca2";"24269";"Wed Jul  8 23:00:43 2020"
"Abiant Technik GmbH & Co. KG Moormerland";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"18.04.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"3ebb9b5b2e1022b9";"24269";"Wed Jul  8 23:00:43 2020"
"Abiant GmbH & Co. KG Moormerland";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"15.04.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"7745fbf80051a97a";"24269";"Wed Jul  8 23:00:43 2020"
"Abiant Technik GmbH & Co. KG Moormerland";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"22.07.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"bd8efd79ea46e78a";"24269";"Wed Jul  8 23:00:43 2020"
"Abiant GmbH & Co. KG Moormerland";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"15.07.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"b7bf9037c61b26a9";"24269";"Wed Jul  8 23:00:43 2020"
"Abiant GmbH & Co. KG Moormerland";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"25.04.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"417214596af65a56";"24269";"Wed Jul  8 23:00:43 2020"
"Abiant Technik GmbH & Co. KG Moormerland";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"25.04.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"862a2b10dc570c0f";"24269";"Wed Jul  8 23:00:43 2020"
"Abiant Technik GmbH & Co. KG Moormerland";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"03.06.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"2217b6e820d7cb21";"24269";"Wed Jul  8 23:00:43 2020"
"Abiant GmbH & Co. KG Moormerland";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"03.06.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"0aef6d126d687cb3";"24269";"Wed Jul  8 23:00:43 2020"
"Abiant GmbH & Co. KG Moormerland";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"04.07.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"849759f1cfd29e75";"24269";"Wed Jul  8 23:00:43 2020"
"Abiant Technik GmbH & Co. KG Moormerland";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"29.06.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"80bf8a5a7954fa57";"24269";"Wed Jul  8 23:00:43 2020"
"Abiant Technik GmbH & Co. KG Moormerland";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"09.06.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"00bd82e95f709e9b";"24269";"Wed Jul  8 23:00:43 2020"
"Abiant GmbH & Co. KG Moormerland";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"03.06.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"83ef8ef1c844c4b5";"24269";"Wed Jul  8 23:00:43 2020"
