"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Actinium Consulting GmbH Lindau (B)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"26.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f33efa78e48e5d56";"53557";"Wed Jul  8 22:32:07 2020"
"Actinium Consulting GmbH Lindau (B)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"01.04.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"52f1599fd419f197";"53557";"Wed Jul  8 22:32:07 2020"
"Actinium Consulting GmbH Lindau (B)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"06.02.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c33ffc98e745fa18";"53557";"Wed Jul  8 22:32:07 2020"
"Actinium Consulting GmbH Lindau (B)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"04.08.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"973edf2a0aa65c4a";"53557";"Wed Jul  8 22:32:07 2020"
"Actinium Consulting GmbH Lindau (B)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"06.11.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"184f9f52d6018a91";"53557";"Wed Jul  8 22:32:07 2020"
"Actinium Consulting GmbH Lindau (B)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"10.11.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2583ce49467fb774";"53557";"Wed Jul  8 22:32:07 2020"
"Actinium Consulting GmbH Lindau (B)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"19.07.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"01b70b6452ffe09a";"53557";"Wed Jul  8 22:32:07 2020"
"Actinium Consulting GmbH Lindau (B)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"25.06.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2b797047bdc3246a";"53557";"Wed Jul  8 22:32:07 2020"
"Actinium Consulting GmbH Lindau (B)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"25.10.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"48ee09e65e3f73df";"53557";"Wed Jul  8 22:32:07 2020"
"Actinium Consulting GmbH Lindau (B)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"12.10.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"55a659e9a1a2270d";"53557";"Wed Jul  8 22:32:07 2020"
"Actinium Consulting GmbH Lindau (B)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"24.09.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c5578760214f9719";"53557";"Wed Jul  8 22:32:07 2020"
"Actinium Consulting GmbH Lindau (B)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"09.07.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3b1585cd806eece2";"53557";"Wed Jul  8 22:32:07 2020"
"Actinium Consulting GmbH Lindau (B)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"02.05.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f1c8a7f4e9b25fd3";"53557";"Wed Jul  8 22:32:07 2020"
