"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Adaptron GmbH Solution Technology Mammendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"888a6f410a7952c8";"66522";"Wed Jul  8 23:46:56 2020"
"Adaptron GmbH Solution Technology Mammendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"28.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"4ec9aa5a27cdcd4c";"66522";"Wed Jul  8 23:46:56 2020"
"Adaptron GmbH Solution Technology Mammendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"10.01.2018";"97%";"0d747c0b2dd5781887ce3d83356491d9";"c8743cab58427c0e";"66522";"Wed Jul  8 23:46:56 2020"
"Adaptron GmbH Solution Technology Mammendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"09.01.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"8fcaeb93d3900543";"66522";"Wed Jul  8 23:46:56 2020"
"Adaptron GmbH Solution Technology Mammendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"09.02.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"877d47c347775e2e";"66522";"Wed Jul  8 23:46:56 2020"
"Adaptron GmbH Solution Technology Mammendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"27.02.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"3707a2f13e226a6a";"66522";"Wed Jul  8 23:46:56 2020"
"Adaptron GmbH Solution Technology Mammendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"13.06.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"3c259ee37773991b";"66522";"Wed Jul  8 23:46:56 2020"
"Adaptron GmbH Solution Technology Mammendorf (vormals: Fürstenfeldbruck)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"23.01.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"5eaf55ff16d0554a";"66522";"Wed Jul  8 23:46:56 2020"
"Adaptron GmbH Solution Technology Mammendorf (vormals: Fürstenfeldbruck)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"10.02.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"fb7592cdd58bea37";"66522";"Wed Jul  8 23:46:56 2020"
"Adaptron GmbH Solution Technology Fürstenfeldbruck";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"31.01.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"f1f62a99a1cca00a";"66522";"Wed Jul  8 23:46:56 2020"
"Adaptron GmbH Solution Technology Fürstenfeldbruck";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"22.12.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"2c6ba72042983f98";"66522";"Wed Jul  8 23:46:56 2020"
"Adaptron GmbH Solution Technology Fürstenfeldbruck";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"13.01.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"802a4a1101176670";"66522";"Wed Jul  8 23:46:56 2020"
"Adaptron GmbH Solutions Technology Fürstenfeldbruck";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"10.03.2008";"97%";"0d747c0b2dd5781887ce3d83356491d9";"7d69d65672526bc4";"66522";"Wed Jul  8 23:46:56 2020"
