"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Aeroplan-Reise GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"11.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"76b9b27cca57ef72";"61007";"Wed Jul  8 23:00:13 2020"
"Aeroplan-Reise GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"25.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"da67b70662e10db8";"61007";"Wed Jul  8 23:00:13 2020"
"Aeroplan-Reise GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"28.03.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"22927b4d13f1ef65";"61007";"Wed Jul  8 23:00:13 2020"
"Aeroplan-Reise GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"15.02.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f662374c04af9db8";"61007";"Wed Jul  8 23:00:13 2020"
"Aeroplan-Reise GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"12.02.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"bf18e838e1555f29";"61007";"Wed Jul  8 23:00:13 2020"
"Aeroplan-Reise GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"04.03.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"87c5977098dd9048";"61007";"Wed Jul  8 23:00:13 2020"
"Aeroplan-Reise GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"28.02.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e91579c7199eea80";"61007";"Wed Jul  8 23:00:13 2020"
"Aeroplan-Reise GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"06.02.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"55cde7acae91041d";"61007";"Wed Jul  8 23:00:13 2020"
"Aeroplan-Reise GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"12.01.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a1520f0123f013fd";"61007";"Wed Jul  8 23:00:13 2020"
"Aeroplan-Reise GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"04.02.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3dcbd3dc8a63f055";"61007";"Wed Jul  8 23:00:13 2020"
"Aeroplan-Reise GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"04.03.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"fbd6e67a73d55df6";"61007";"Wed Jul  8 23:00:13 2020"
"Aeroplan-Reise GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"04.03.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d31c3eea4a6a6c8f";"61007";"Wed Jul  8 23:00:13 2020"
"Aeroplan Reise GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"27.05.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"4c9570f2c6cdefbe";"61007";"Wed Jul  8 23:00:13 2020"
