"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Ancud IT-Beratung GmbH Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"553ec0b7ed34b16f";"02918";"Thu Jul  9 00:04:28 2020"
"Ancud IT-Beratung GmbH Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6f6363290fe1ef6b";"02918";"Thu Jul  9 00:04:28 2020"
"Ancud IT-Beratung GmbH Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"26.09.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"0939ae23a7e5e51b";"02918";"Thu Jul  9 00:04:28 2020"
"Ancud IT-Beratung GmbH Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"28.07.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"e80b57d4d8d83805";"02918";"Thu Jul  9 00:04:28 2020"
"Ancud IT-Beratung GmbH Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"02.07.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"34921ab950196c81";"02918";"Thu Jul  9 00:04:28 2020"
"Ancud IT-Beratung GmbH Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"05.02.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"a6bff33f72f3e911";"02918";"Thu Jul  9 00:04:28 2020"
"Ancud IT-Beratung GmbH Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"06.01.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"7c021e751e082d0c";"02918";"Thu Jul  9 00:04:28 2020"
"Ancud IT-Beratung GmbH Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"20.07.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"e41ded338919d0a1";"02918";"Thu Jul  9 00:04:28 2020"
"Ancud IT-Beratung GmbH Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"16.01.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"b82b8e3808b739e8";"02918";"Thu Jul  9 00:04:28 2020"
"Ancud IT-Beratung GmbH Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"20.12.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"c70caca8bbda20e1";"02918";"Thu Jul  9 00:04:28 2020"
"Ancud IT-Beratung GmbH Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"30.12.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"f87b48f578f02f77";"02918";"Thu Jul  9 00:04:28 2020"
"Ancud IT-Beratung GmbH Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"28.01.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"0aa29e866bdd7ed4";"02918";"Thu Jul  9 00:04:28 2020"
"Ancud IT-Beratung GmbH Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2006 bis zum 31.12.2006";"25.11.2008";"97%";"0d747c0b2dd5781887ce3d83356491d9";"c70645dd3f4fa0aa";"02918";"Thu Jul  9 00:04:28 2020"
