"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Auf den Punkt gebracht Limited & Co. KG Fürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"15.05.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"73aa2a991e06b614";"50599";"Wed Jul  8 22:34:53 2020"
"Auf den Punkt Marketing & Vertriebsgesellschaft mbH Burgwedel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"12.12.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"7b02b292404bd190";"50599";"Wed Jul  8 22:34:53 2020"
"Auf den Punkt Marketing & Vertriebsgesellschaft mbH Burgwedel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010 Ergänzung der Veröffentlichung vom 10.08.2012";"24.10.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8ec7c38b963987b9";"50599";"Wed Jul  8 22:34:53 2020"
"Auf den Punkt Marketing & Vertriebsgesellschaft mbH Burgwedel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010 Ergänzt am 24.10.2012";"10.08.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c5b605d59fa2c296";"50599";"Wed Jul  8 22:34:53 2020"
"Auf den Punkt gebracht Limited & Co. KG Fürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"18.05.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"059aeb9349de5c50";"50599";"Wed Jul  8 22:34:53 2020"
"Auf den Punkt gebracht Limited & Co. KG Fürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.08.2009 bis zum 31.12.2009";"12.09.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"871dc766e389150a";"50599";"Wed Jul  8 22:34:53 2020"
"Auf den Punkt Marketing & Vertriebsgesellschaft mbH Burgwedel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"27.07.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1f48ca0a2f9d2c20";"50599";"Wed Jul  8 22:34:53 2020"
"Auf den Punkt Marketing & Vertriebsgesellschaft mbH Burgwedel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"03.11.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b4da2fd8f73560ff";"50599";"Wed Jul  8 22:34:53 2020"
"Auf den Punkt Marketing & Vertriebsgesellschaft mbH Burgwedel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"12.08.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"81ba71b4936c2ca4";"50599";"Wed Jul  8 22:34:53 2020"
"Grundstücksverwaltung Hector GmbH & Co. KG Gütersloh";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"28.01.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0f5c3d7e3c21e5b1";"50599";"Wed Jul  8 22:34:53 2020"
"Geschwister Miele Beteiligungs-GmbH Gütersloh";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"13.01.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"186811302a38ee53";"50599";"Wed Jul  8 22:34:53 2020"
"""Fieder"" Verwaltungs GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"03.12.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a967f89ec1c9f7b5";"50599";"Wed Jul  8 22:34:53 2020"
"Sixt Allgemeine Leasing GmbH & Co. KGaA Pullach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"30.11.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3c850a66667f0005";"50599";"Wed Jul  8 22:34:53 2020"
"Windpark Sillerup GmbH & Co. KG Renditefonds Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"25.11.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a71e84d9b12e3b07";"50599";"Wed Jul  8 22:34:53 2020"
"Günther & Lochte Verwaltungsgesellschaft mbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"12.11.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"11de8f740c62cb00";"50599";"Wed Jul  8 22:34:53 2020"
"Cura GmbH & Co. KG Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"31.07.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"499b4bfb0ce4177e";"50599";"Wed Jul  8 22:34:53 2020"
"PHW Potsdamer Havel Wassergesellschaft International mbH & Co. KG Potsdam";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 20.09.2007 bis zum 31.12.2007";"09.04.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"31223eb00411cbeb";"50599";"Wed Jul  8 22:34:53 2020"
"HWU Hygiene-,  Wasser-,  Umweltlabor Verwaltungs-GmbH Potsdam";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 20.09.2007 bis zum 31.12.2007";"09.04.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2751990d9a94c332";"50599";"Wed Jul  8 22:34:53 2020"
"maßarbeit GmbH Handwerk auf den Punkt Stolberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"23.06.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8771f44a6fa2f63a";"50599";"Wed Jul  8 22:34:53 2020"
"Sparkasse Vest Recklinghausen Recklinghausen";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"13.08.2019";"10%";"0d747c0b2dd5781887ce3d83356491d9";"bcbadddd1b25e212";"50599";"Wed Jul  8 22:34:53 2020"
