"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Auto-Plus GmbH Kfz- Handel und Service Nossen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"29.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"bd93124d45873e51";"63666";"Wed Jul  8 23:11:35 2020"
"Auto-Plus GmbH Kfz- Handel und Service Nossen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"29.04.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"90ad830e3f750a3f";"63666";"Wed Jul  8 23:11:35 2020"
"Auto-Plus GmbH Kfz- Handel und Service Nossen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"20.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"3a73b07dc9456b95";"63666";"Wed Jul  8 23:11:35 2020"
"Auto-Plus GmbH Kfz- Handel und Service Nossen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"02.06.2017";"99%";"0d747c0b2dd5781887ce3d83356491d9";"065e64a6ddc3d02d";"63666";"Wed Jul  8 23:11:35 2020"
"Auto-Plus GmbH Kfz- Handel und Service Nossen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"21.04.2015";"99%";"0d747c0b2dd5781887ce3d83356491d9";"d375bf04202f67a7";"63666";"Wed Jul  8 23:11:35 2020"
"Auto-Plus GmbH Kfz- Handel und Service Nossen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"20.03.2015";"99%";"0d747c0b2dd5781887ce3d83356491d9";"276b56a73a0b3f6b";"63666";"Wed Jul  8 23:11:35 2020"
"Auto-Plus GmbH Kfz- Handel und Service Ketzerbachtal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"07.05.2013";"99%";"0d747c0b2dd5781887ce3d83356491d9";"cb3c33cd9f88fc16";"63666";"Wed Jul  8 23:11:35 2020"
"Auto-Plus GmbH Kfz- Handel und Service Ketzerbachtal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"07.08.2012";"99%";"0d747c0b2dd5781887ce3d83356491d9";"8c54de57acee184f";"63666";"Wed Jul  8 23:11:35 2020"
"Auto-Plus GmbH Kfz- Handel und Service Ketzerbachtal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"03.05.2011";"99%";"0d747c0b2dd5781887ce3d83356491d9";"e391f9714a6d3345";"63666";"Wed Jul  8 23:11:35 2020"
"Auto-Plus GmbH Kfz- Handel und Service Ketzerbachtal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"03.05.2011";"99%";"0d747c0b2dd5781887ce3d83356491d9";"7f876ec77cc4b6d4";"63666";"Wed Jul  8 23:11:35 2020"
"Auto-Plus GmbH Kfz- Handel und Service Ketzerbachtal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"21.01.2010";"99%";"0d747c0b2dd5781887ce3d83356491d9";"12e2a14677615fae";"63666";"Wed Jul  8 23:11:35 2020"
