"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"AutoDo GmbH Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"22.11.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5b6634d78db6f9f4";"67499";"Wed Jul  8 23:31:52 2020"
"AutoDo GmbH Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"27.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"adc6fa3712995c17";"67499";"Wed Jul  8 23:31:52 2020"
"AutoDo GmbH Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"14.12.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b2c9ad4f3ab3d4f4";"67499";"Wed Jul  8 23:31:52 2020"
"AutoDo GmbH Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"28.12.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"f40a89f3d1657e90";"67499";"Wed Jul  8 23:31:52 2020"
"autoimage GmbH (vormals: AutoDo Service GmbH) Lichtenfels";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"08.12.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e87922938eb89dd4";"67499";"Wed Jul  8 23:31:52 2020"
"autoimage GmbH (vormals: AutoDo Service GmbH) Lichtenfels";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"28.01.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"8da44db009c7177e";"67499";"Wed Jul  8 23:31:52 2020"
"AutoDo GmbH Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"07.12.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"77e1c4477f46f76a";"67499";"Wed Jul  8 23:31:52 2020"
"AutoDo Service GmbH Lichtenfels";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"23.01.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d68a0b7a4c022bb4";"67499";"Wed Jul  8 23:31:52 2020"
"AutoDo GmbH Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"23.12.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"508dedfb4bda5886";"67499";"Wed Jul  8 23:31:52 2020"
"AutoDo GmbH Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"12.12.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"93ae083c7b1a6dfd";"67499";"Wed Jul  8 23:31:52 2020"
"AutoDo Service GmbH Lichtenfels";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"18.01.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"117042a5985a4ac5";"67499";"Wed Jul  8 23:31:52 2020"
"AutoDo GmbH Burgdorf (vormals: Celle)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"31.12.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"479e5d968bb23f8a";"67499";"Wed Jul  8 23:31:52 2020"
