"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"BERATA Erfurt GmbH Erfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"09.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"03df953164dd4f25";"43026";"Wed Jul  8 22:32:33 2020"
"BERATA-GmbH Steuerberatungsgesellschaft Pfarrkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"26.11.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c2f5dc417d77e63d";"43026";"Wed Jul  8 22:32:33 2020"
"BERATA Steuerberatungsgesellschaft mbH Spree-Neiße Lübbenau/Spreewald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"28.06.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2a76f13b3f1918b3";"43026";"Wed Jul  8 22:32:33 2020"
"BERATA Erfurt GmbH Erfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"13.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fa905bb4612a935b";"43026";"Wed Jul  8 22:32:33 2020"
"BERATA-GmbH Steuerberatungsgesellschaft Pfarrkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"09.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"97adf6dc6458d4c1";"43026";"Wed Jul  8 22:32:33 2020"
"BERATA Steuerberatungsgesellschaft mbH Spree-Neiße Lübbenau/Spreewald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"05.07.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"57a3644b2a38cddd";"43026";"Wed Jul  8 22:32:33 2020"
"BERATA Erfurt GmbH Erfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"18.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"86dad1100ca3d245";"43026";"Wed Jul  8 22:32:33 2020"
"BERATA-GmbH Steuerberatungsgesellschaft Pfarrkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"20.11.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e7ec6ab393b3d2fb";"43026";"Wed Jul  8 22:32:33 2020"
"BERATA Steuerberatungsgesellschaft mbH Spree-Neiße Lübbenau/Spreewald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"19.07.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d18961f63016938d";"43026";"Wed Jul  8 22:32:33 2020"
"BERATA-GmbH Steuerberatungsgesellschaft Pfarrkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"28.09.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"12b6da85b2b18bb9";"43026";"Wed Jul  8 22:32:33 2020"
"BERATA Steuerberatungsgesellschaft mbH Spree-Neiße Lübbenau/Spreewald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"29.07.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"3da3b0bb4b87a112";"43026";"Wed Jul  8 22:32:33 2020"
"BERATA Erfurt GmbH (vormals: BERATA - Gesellschaft für Buchführungs-,  Betriebs- und Organisationsberatung mbH) Erfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"31.05.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0fb0545d5c229f86";"43026";"Wed Jul  8 22:32:33 2020"
