"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"BIP Dienstleistungen GmbH Lüneburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"30.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"61c8e5091bd386de";"15526";"Wed Jul  8 23:23:51 2020"
"BIP Dienstleistungen GmbH Lüneburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"12.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"af42b06d19e2cdaa";"15526";"Wed Jul  8 23:23:51 2020"
"BIP Dienstleistungen GmbH Lüneburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"15.11.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"7b3550b477f63f06";"15526";"Wed Jul  8 23:23:51 2020"
"BIP Dienstleistungen GmbH Lüneburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"12.01.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3f8e232dcd60e16b";"15526";"Wed Jul  8 23:23:51 2020"
"BIP Dienstleistungen GmbH Lüneburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"13.10.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"5c6c928ae52aabc0";"15526";"Wed Jul  8 23:23:51 2020"
"BIP Dienstleistungen GmbH Lüneburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"18.09.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"16a14d9bb3ffe915";"15526";"Wed Jul  8 23:23:51 2020"
"BIP Dienstleistungen GmbH Lüneburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"04.02.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2bc5c09f8f8cc5b9";"15526";"Wed Jul  8 23:23:51 2020"
"BIP Dienstleistungen GmbH Lüneburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"29.01.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1b9894751646ddd0";"15526";"Wed Jul  8 23:23:51 2020"
"BIP Dienstleistungen GmbH Lüneburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"12.01.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"6ff0440361071e11";"15526";"Wed Jul  8 23:23:51 2020"
"BIP Dienstleistungen GmbH Lüneburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"01.02.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"68b2dc136fb846a8";"15526";"Wed Jul  8 23:23:51 2020"
"BIP Dienstleistungen GmbH Lüneburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"02.12.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0852f3d3f049ee80";"15526";"Wed Jul  8 23:23:51 2020"
"BIP Dienstleistungen GmbH Lüneburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"22.01.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"5e26b498e3f2a806";"15526";"Wed Jul  8 23:23:51 2020"
"BIP Dienstleistungen GmbH Lüneburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"15.01.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"6397e3f99768bd8b";"15526";"Wed Jul  8 23:23:51 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"22.10.2019";"50%";"0d747c0b2dd5781887ce3d83356491d9";"fec522260fabfdbe";"15526";"Wed Jul  8 23:23:51 2020"
"DWS Group GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahreskonzernbericht zum 30. Juni 2019";"31.07.2019";"50%";"0d747c0b2dd5781887ce3d83356491d9";"e9fd651de3b1ffec";"15526";"Wed Jul  8 23:23:51 2020"
"Süd-West-Kreditbank Finanzierung GmbH Bingen am Rhein";"Rechnungslegung/ Finanzberichte";"» Offenlegungsbericht nach CRR zum 31.12.2018";"29.07.2019";"50%";"0d747c0b2dd5781887ce3d83356491d9";"7bfe200a08a42c62";"15526";"Wed Jul  8 23:23:51 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Halbjahresfinanzbericht zum 30 Juni 2018";"12.10.2018";"50%";"0d747c0b2dd5781887ce3d83356491d9";"b7f7a5ac303592bb";"15526";"Wed Jul  8 23:23:51 2020"
"DWS Group GmbH & Co. KGaA (vormals: DWS Group SE) Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht  zum 30. Juni 2018";"09.08.2018";"50%";"0d747c0b2dd5781887ce3d83356491d9";"0a1c55ce9dbc2d8f";"15526";"Wed Jul  8 23:23:51 2020"
"Süd-West-Kreditbank Finanzierung GmbH Bingen am Rhein";"Rechnungslegung/ Finanzberichte";"» Offenlegungsbericht nach CRR zum 31.12.2017";"01.06.2018";"45%";"0d747c0b2dd5781887ce3d83356491d9";"9431528293fbc085";"15526";"Wed Jul  8 23:23:51 2020"
"Volkswagen Bank Gesellschaft mit beschränkter Haftung Braunschweig";"Rechnungslegung/ Finanzberichte";"» Konzern Halbjahresfinanzbericht zum 30. Juni 2017 Berichtigung der Veröffentlichung vom 16.08.2017";"29.08.2017";"45%";"0d747c0b2dd5781887ce3d83356491d9";"fdc3f00bdeb78d35";"15526";"Wed Jul  8 23:23:51 2020"
