"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Bitfabrik GmbH & Co.KG Rodgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Ergänzung der Veröffentlichung vom 18.12.2018";"10.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7cef9956eed934d0";"31484";"Wed Jul  8 23:56:50 2020"
"Bitfabrik GmbH & Co.KG Rodgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fa627dcbfc47fb2c";"31484";"Wed Jul  8 23:56:50 2020"
"Bitfabrik GmbH & Co.KG Rodgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Ergänzt am 10.03.2020";"18.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"45092b7df9cc80fa";"31484";"Wed Jul  8 23:56:50 2020"
"Bitfabrik GmbH & Co.KG Rodgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"18.12.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"543f15ef49938ccb";"31484";"Wed Jul  8 23:56:50 2020"
"Bitfabrik GmbH & Co.KG Rodgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"18.11.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"c4b51e24a4bde7ec";"31484";"Wed Jul  8 23:56:50 2020"
"Bitfabrik GmbH & Co.KG Rodgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"04.09.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"39b76e8d827dabfa";"31484";"Wed Jul  8 23:56:50 2020"
"Bitfabrik GmbH & Co.KG Rodgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"16.12.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"ceb1c0c56e68074e";"31484";"Wed Jul  8 23:56:50 2020"
"Bitfabrik GmbH & Co.KG Rodgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"06.12.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"25e3cbdd3733db39";"31484";"Wed Jul  8 23:56:50 2020"
"Bitfabrik GmbH & Co.KG Rodgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"21.01.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"d9b8ee5b24c355d0";"31484";"Wed Jul  8 23:56:50 2020"
"Bitfabrik GmbH & Co.KG Rodgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"16.01.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"624939178d3d1cbc";"31484";"Wed Jul  8 23:56:50 2020"
"Bitfabrik GmbH & Co.KG Rodgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"08.10.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"ab5371338766b300";"31484";"Wed Jul  8 23:56:50 2020"
"Bitfabrik GmbH & Co.KG Rodgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"23.11.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"e2512dd0873c56c2";"31484";"Wed Jul  8 23:56:50 2020"
"Bitfabrik GmbH & Co.KG Rodgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"12.01.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"53a26ec42bc22dee";"31484";"Wed Jul  8 23:56:50 2020"
"Bitfabrik GmbH & Co. KG Rodgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"20.12.2007";"97%";"0d747c0b2dd5781887ce3d83356491d9";"4e9e8645868b69ec";"31484";"Wed Jul  8 23:56:50 2020"
