"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"BMW AG München";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht BMW Group zum 31.März 2007";"14.05.2007";"75%";"0d747c0b2dd5781887ce3d83356491d9";"9281a89c00af375e";"53806";"Wed Jul  8 22:46:49 2020"
"BMW AG München";"Rechnungslegung/ Finanzberichte";"» Zwischenbericht zum 30. September 2007";"09.11.2007";"59%";"0d747c0b2dd5781887ce3d83356491d9";"63554cf36d48c15a";"53806";"Wed Jul  8 22:46:49 2020"
"BMW AG München";"Rechnungslegung/ Finanzberichte";"» Zwischenbericht zum 30. Juni 2007";"06.08.2007";"59%";"0d747c0b2dd5781887ce3d83356491d9";"e322f2dcaee7e0c3";"53806";"Wed Jul  8 22:46:49 2020"
"KUKA AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Group`s interim report to June 30, 2007";"04.10.2007";"25%";"0d747c0b2dd5781887ce3d83356491d9";"5c13c16b26af486d";"53806";"Wed Jul  8 22:46:49 2020"
"SGL Carbon SE Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 31. März 2017";"22.05.2018";"9%";"0d747c0b2dd5781887ce3d83356491d9";"38dda244fc48e45f";"53806";"Wed Jul  8 22:46:49 2020"
"Deutsche Telekom AG Bonn";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht für den Zeitraum vom 01.01.2015 bis zum 31.03.2015";"28.05.2015";"9%";"0d747c0b2dd5781887ce3d83356491d9";"7bdb4d9df73f39ce";"53806";"Wed Jul  8 22:46:49 2020"
"PIXELPARK AG Berlin";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30.06.2014";"02.02.2015";"9%";"0d747c0b2dd5781887ce3d83356491d9";"2b3004d5e50216cb";"53806";"Wed Jul  8 22:46:49 2020"
"PIXELPARK AG Berlin";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2013";"16.09.2013";"9%";"0d747c0b2dd5781887ce3d83356491d9";"a0bb1cb7e28f3741";"53806";"Wed Jul  8 22:46:49 2020"
"DB Advisors Investmentaktiengesellschaft mit Teilgesellschaftsvermögen Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Sonstiges Berichtigung der Veröffentlichung vom 26.04.2011";"16.05.2011";"9%";"0d747c0b2dd5781887ce3d83356491d9";"0ab3535736ad8be8";"53806";"Wed Jul  8 22:46:49 2020"
"DB Advisors Investmentaktiengesellschaft mit Teilgesellschaftsvermögen Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.05.2010 Berichtigt am 16.05.2011";"26.04.2011";"9%";"0d747c0b2dd5781887ce3d83356491d9";"b3b274eea9d481ec";"53806";"Wed Jul  8 22:46:49 2020"
"Allianz Global Investors Investmentaktiengesellschaft mit Teilgesellschaftsvermögen Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2009 bis zum 31.03.2010";"06.08.2010";"9%";"0d747c0b2dd5781887ce3d83356491d9";"ca49eced75effa00";"53806";"Wed Jul  8 22:46:49 2020"
"DB Advisors Investmentaktiengesellschaft mit Teilgesellschaftsvermögen Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht";"24.08.2009";"9%";"0d747c0b2dd5781887ce3d83356491d9";"b4e989e94b97a856";"53806";"Wed Jul  8 22:46:49 2020"
"PB Spezial-Investmentaktiengesellschaft mit Teilgesellschaftsvermögen Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresbericht für das Rumpfgeschäftsjahr  bis zum 31.12.2008";"19.06.2009";"9%";"0d747c0b2dd5781887ce3d83356491d9";"3bdaddf0ffe8a950";"53806";"Wed Jul  8 22:46:49 2020"
"Bayer Aktiengesellschaft Leverkusen";"Rechnungslegung/ Finanzberichte";"» Konzern-Quartalsbericht zum 31. März 2007";"30.08.2007";"9%";"0d747c0b2dd5781887ce3d83356491d9";"107ff93ecee5dcf7";"53806";"Wed Jul  8 22:46:49 2020"
"Bayer Aktiengesellschaft Leverkusen";"Rechnungslegung/ Finanzberichte";"» Konzern-Quartalsfinanzbericht zum 31. März 2007";"30.08.2007";"9%";"0d747c0b2dd5781887ce3d83356491d9";"7d10494e6fcbbda0";"53806";"Wed Jul  8 22:46:49 2020"
