"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"BUCS IT GmbH Wuppertal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"22.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"267c43bdd3824a42";"03124";"Wed Jul  8 23:37:39 2020"
"BUCS IT GmbH Wuppertal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"14.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"54047c6d71a675ca";"03124";"Wed Jul  8 23:37:39 2020"
"BUCS IT GmbH Wuppertal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"28.12.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"36fec72963b9d9df";"03124";"Wed Jul  8 23:37:39 2020"
"BUCS IT GmbH Wuppertal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"11.10.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"51f304ceea0a4b92";"03124";"Wed Jul  8 23:37:39 2020"
"BUCS IT GmbH Wuppertal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"23.12.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f723edf7ce939c21";"03124";"Wed Jul  8 23:37:39 2020"
"BUCS IT GmbH Wuppertal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"17.02.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"98f3ab87667c0702";"03124";"Wed Jul  8 23:37:39 2020"
"BUCS IT GmbH Wuppertal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"11.12.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0b0b7cf24f9421ac";"03124";"Wed Jul  8 23:37:39 2020"
"BUCS IT GmbH Wuppertal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"07.12.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a14c7a6e0cc8a743";"03124";"Wed Jul  8 23:37:39 2020"
"BUCS IT GmbH Wuppertal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"27.09.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"001d6d78ee98226f";"03124";"Wed Jul  8 23:37:39 2020"
"BUCS IT GmbH Wuppertal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"19.01.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1411b68de93a490c";"03124";"Wed Jul  8 23:37:39 2020"
