"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"bec kommunal Software GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2018 bis zum 30.06.2019";"30.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9a147268b9290b6b";"50534";"Wed Jul  8 22:25:49 2020"
"ENGIE BEC GmbH Wehr";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"17.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a834b85c6629a50a";"50534";"Wed Jul  8 22:25:49 2020"
"BEC-Energie Consult GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"14.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"882a86b958b407d0";"50534";"Wed Jul  8 22:25:49 2020"
"BEC GmbH Pfullingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"08.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b13b21e5799b4ebb";"50534";"Wed Jul  8 22:25:49 2020"
"ComBEC Gesellschaft für Computertechnik Business-Engineering & Consulting mbH Kiel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"26.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ad7d3b2f9662ab11";"50534";"Wed Jul  8 22:25:49 2020"
"BEC Gesellschaft für Produktmanagement mbH Moers";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2a93f36f734a7901";"50534";"Wed Jul  8 22:25:49 2020"
"BECE Real Estate GmbH & Cie. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"4b6a94e92f05c0dd";"50534";"Wed Jul  8 22:25:49 2020"
"BC Bugenhagen Catering GmbH (vormals: BEC Bugenhagenhaus Exclusiv Catering GmbH) Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"18.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"519ed353f24f1027";"50534";"Wed Jul  8 22:25:49 2020"
"BEC Becker Elektrorecycling Chemnitz GmbH Chemnitz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"16.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"16ca815a2b6f2494";"50534";"Wed Jul  8 22:25:49 2020"
"BEC Industrietechnik GmbH Moers";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"23.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f058af82f4c443d0";"50534";"Wed Jul  8 22:25:49 2020"
"BEC Steuerungsbau GmbH & Co. KG Nieheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.11.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f53d30f8500c5179";"50534";"Wed Jul  8 22:25:49 2020"
"Becer GmbH Böblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"23.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"be4d141e6587b1c9";"50534";"Wed Jul  8 22:25:49 2020"
"BECE Leiterplatten-Chemie GmbH Undenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"22.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0a24749ad8abab15";"50534";"Wed Jul  8 22:25:49 2020"
