"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Borgmann Ausstellungsbau und Design GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"67f2679e604dcd9f";"64622";"Wed Jul  8 22:55:42 2020"
"Borgmann Ausstellungsbau und Design GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"84a766599a33fa0b";"64622";"Wed Jul  8 22:55:42 2020"
"Borgmann Ausstellungsbau und Design GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"09.03.2018";"98%";"0d747c0b2dd5781887ce3d83356491d9";"c5af3597dfe1a2d7";"64622";"Wed Jul  8 22:55:42 2020"
"Borgmann Ausstellungsbau und Design GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"29.03.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"31d8b61445d20d5b";"64622";"Wed Jul  8 22:55:42 2020"
"Borgmann Ausstellungsbau und Design GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"12.01.2016";"98%";"0d747c0b2dd5781887ce3d83356491d9";"6ec8feabdf6fbf39";"64622";"Wed Jul  8 22:55:42 2020"
"Borgmann Ausstellungsbau und Design GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"21.01.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"0185eebec30db420";"64622";"Wed Jul  8 22:55:42 2020"
"Borgmann Ausstellungsbau und Design GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"20.03.2014";"98%";"0d747c0b2dd5781887ce3d83356491d9";"bcb7a032d44ae147";"64622";"Wed Jul  8 22:55:42 2020"
"Borgmann Ausstellungsbau und Design GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"30.04.2013";"98%";"0d747c0b2dd5781887ce3d83356491d9";"5a8ae8c7b7c0f322";"64622";"Wed Jul  8 22:55:42 2020"
"Borgmann Ausstellungsbau und Design GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"30.03.2012";"98%";"0d747c0b2dd5781887ce3d83356491d9";"89cb0dd6944d8e35";"64622";"Wed Jul  8 22:55:42 2020"
"Borgmann Ausstellungsbau und Design GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"25.10.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"f81dc35c94907344";"64622";"Wed Jul  8 22:55:42 2020"
"Borgmann Ausstellungsbau und Design GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"06.04.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"277ba0aa3dd61168";"64622";"Wed Jul  8 22:55:42 2020"
"Borgmann Ausstellungsbau und Design GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"21.11.2008";"98%";"0d747c0b2dd5781887ce3d83356491d9";"01e1f90c1a2091df";"64622";"Wed Jul  8 22:55:42 2020"
