"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Braincourt GmbH Gesellschaft für Managementberatung & Informationssysteme Leinfelden-Echterdingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"16.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"d4e9190daa4bda04";"97308";"Wed Jul  8 22:50:41 2020"
"Braincourt GmbH Gesellschaft für Managementberatung & Informationssysteme Leinfelden-Echterdingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"26.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"cd64d39ab745e2bc";"97308";"Wed Jul  8 22:50:41 2020"
"Braincourt GmbH Gesellschaft für Managementberatung & Informationssysteme Leinfelden-Echterdingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"12.03.2018";"83%";"0d747c0b2dd5781887ce3d83356491d9";"854db7ee470510a7";"97308";"Wed Jul  8 22:50:41 2020"
"Braincourt GmbH Gesellschaft für Managementberatung & Informationssysteme Leinfelden-Echterdingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"04.01.2017";"83%";"0d747c0b2dd5781887ce3d83356491d9";"a89215489871f982";"97308";"Wed Jul  8 22:50:41 2020"
"Braincourt GmbH Gesellschaft für Managementberatung & Informationssysteme Leinfelden-Echterdingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"08.01.2016";"83%";"0d747c0b2dd5781887ce3d83356491d9";"a4aea2c7f4b99cc5";"97308";"Wed Jul  8 22:50:41 2020"
"Braincourt GmbH Gesellschaft für Managementberatung & Informationssysteme Leinfelden-Echterdingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"10.02.2015";"83%";"0d747c0b2dd5781887ce3d83356491d9";"7596ec7d4d1d1335";"97308";"Wed Jul  8 22:50:41 2020"
"Braincourt GmbH Gesellschaft für Managementberatung & Informationssysteme Leinfelden-Echterdingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"12.02.2014";"83%";"0d747c0b2dd5781887ce3d83356491d9";"96f8b9214b115666";"97308";"Wed Jul  8 22:50:41 2020"
"Braincourt GmbH Gesellschaft für Managementberatung & Informationssysteme Leinfelden-Echterdingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"16.01.2013";"83%";"0d747c0b2dd5781887ce3d83356491d9";"c9717cf2543855f6";"97308";"Wed Jul  8 22:50:41 2020"
"Braincourt GmbH Gesellschaft für Managementberatung & Informationssysteme Leinfelden-Echterdingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"27.03.2012";"83%";"0d747c0b2dd5781887ce3d83356491d9";"8df980a160cc9440";"97308";"Wed Jul  8 22:50:41 2020"
"Braincourt GmbH Gesellschaft für Managementberatung & Informationssysteme Leinfelden-Echterdingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"21.02.2011";"83%";"0d747c0b2dd5781887ce3d83356491d9";"8120c5b592eb3a09";"97308";"Wed Jul  8 22:50:41 2020"
"Braincourt GmbH Gesellschaft für Managementberatung & Informationssysteme Leinfelden-Echterdingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"19.05.2010";"83%";"0d747c0b2dd5781887ce3d83356491d9";"095a3e80ee2300ab";"97308";"Wed Jul  8 22:50:41 2020"
"Braincourt GmbH Gesellschaft für Managementberatung & Informationssysteme Leinfelden-Echterdingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"06.04.2009";"83%";"0d747c0b2dd5781887ce3d83356491d9";"e5b82b99a75eb61e";"97308";"Wed Jul  8 22:50:41 2020"
"Braincourt GmbH Gesellschaft für Managementberatung & Informationssysteme Leinfelden-Echterdingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"31.03.2008";"83%";"0d747c0b2dd5781887ce3d83356491d9";"a11e3cb9d300b9a8";"97308";"Wed Jul  8 22:50:41 2020"
