"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Buhl Tax Service GmbH Neunkirchen";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 BUHL-DATA-SERVICE GMBH (Neunkirchen)";"02.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"d7573070d04a88c4";"25043";"Wed Jul  8 23:54:59 2020"
"BUHL-DATA-SERVICE GMBH Neunkirchen";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"29.11.2019";"0d747c0b2dd5781887ce3d83356491d9";"d7573070d04a88c4";"25043";"Wed Jul  8 23:54:59 2020";"";""
"Buhl Tax Service GmbH Neunkirchen";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 BUHL-DATA-SERVICE GMBH (Neunkirchen)";"10.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a0d4a629bc4d3401";"25043";"Wed Jul  8 23:54:59 2020"
"BUHL-DATA-SERVICE GMBH Neunkirchen";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"19.12.2018";"0d747c0b2dd5781887ce3d83356491d9";"a0d4a629bc4d3401";"25043";"Wed Jul  8 23:54:59 2020";"";""
"Buhl Tax Service GmbH Neunkirchen";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 BUHL-DATA-SERVICE GMBH (Neunkirchen)";"25.01.2018";"97%";"0d747c0b2dd5781887ce3d83356491d9";"6186782754eb0a0d";"25043";"Wed Jul  8 23:54:59 2020"
"BUHL-DATA-SERVICE GMBH Neunkirchen";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"24.01.2018";"0d747c0b2dd5781887ce3d83356491d9";"6186782754eb0a0d";"25043";"Wed Jul  8 23:54:59 2020";"";""
"Buhl Tax Service GmbH Neunkirchen";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 BUHL-DATA-SERVICE GMBH (Neunkirchen)";"12.01.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"46c9d9bc2b9064d1";"25043";"Wed Jul  8 23:54:59 2020"
"BUHL-DATA-SERVICE GMBH Neunkirchen";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"30.01.2017";"0d747c0b2dd5781887ce3d83356491d9";"46c9d9bc2b9064d1";"25043";"Wed Jul  8 23:54:59 2020";"";""
"Buhl Tax Service GmbH Neunkirchen";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 BUHL-DATA-SERVICE GMBH (Neunkirchen)";"14.12.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"2f3e2dce41ecd0b5";"25043";"Wed Jul  8 23:54:59 2020"
"BUHL-DATA-SERVICE GMBH Neunkirchen";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"16.02.2016";"0d747c0b2dd5781887ce3d83356491d9";"2f3e2dce41ecd0b5";"25043";"Wed Jul  8 23:54:59 2020";"";""
