"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"CIBT Visum Centrale GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"21.02.2018";"97%";"0d747c0b2dd5781887ce3d83356491d9";"b9abe927fb61d51b";"27950";"Wed Jul  8 23:10:52 2020"
"CIBT Visum Centrale GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"03.07.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"7a7a53bdaf2c5605";"27950";"Wed Jul  8 23:10:52 2020"
"CIBT Visum Centrale GmbH Berlin (vormals: Bonn)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"04.03.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"6beb69064d1534dc";"27950";"Wed Jul  8 23:10:52 2020"
"CIBT Visum Centrale GmbH Berlin (vormals: Bonn)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013 Ergänzung der Veröffentlichung vom 13.02.2015";"23.04.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"dca636a98d0cf13b";"27950";"Wed Jul  8 23:10:52 2020"
"CIBT Visum Centrale GmbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013 Ergänzt am 23.04.2015";"13.02.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"6685c247a3b11370";"27950";"Wed Jul  8 23:10:52 2020"
"CIBT Visum Centrale GmbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Ergänzung der Veröffentlichung vom 04.04.2014";"12.08.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"cac77dc88ef45a81";"27950";"Wed Jul  8 23:10:52 2020"
"CIBT Visum Centrale GmbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Ergänzt am 12.08.2014";"04.04.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"49859f31aacf60fe";"27950";"Wed Jul  8 23:10:52 2020"
"CIBT Visum Centrale GmbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"07.02.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"48b478d698ee8dd8";"27950";"Wed Jul  8 23:10:52 2020"
"CIBT Visum Centrale GmbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010 Ergänzung der Veröffentlichung vom 09.05.2012";"12.09.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"3ac3c895fb04c484";"27950";"Wed Jul  8 23:10:52 2020"
"CIBT Visum Centrale GmbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010 Ergänzt am 12.09.2012";"09.05.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"241d474c9c819f08";"27950";"Wed Jul  8 23:10:52 2020"
"CIBT Visum Centrale GmbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"24.03.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"3d8abd27e995ae58";"27950";"Wed Jul  8 23:10:52 2020"
"CIBT Visum Centrale GmbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"18.05.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"6f71be6ff94f2d70";"27950";"Wed Jul  8 23:10:52 2020"
"CIBT Visum Centrale GmbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.07.2007";"17.08.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"c9e1921379549af2";"27950";"Wed Jul  8 23:10:52 2020"
"CIBT Visum Centrale GmbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.08.2007 bis zum 31.12.2007";"17.08.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"296fe5bd22b7e544";"27950";"Wed Jul  8 23:10:52 2020"
