"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"CONTACT Software GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7f038245af397565";"21994";"Wed Jul  8 23:46:25 2020"
"PHOENIX CONTACT Software GmbH Lemgo";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Phoenix Contact GmbH & Co. KG (Blomberg)";"20.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f41bdee147dfef93";"21994";"Wed Jul  8 23:46:25 2020"
"PHOENIX CONTACT Software GmbH Lemgo";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Phoenix Contact GmbH & Co. KG (Blomberg)";"24.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9f490dd4be24fc00";"21994";"Wed Jul  8 23:46:25 2020"
"Phoenix Contact GmbH & Co. KG Blomberg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.02.2020";"0d747c0b2dd5781887ce3d83356491d9";"9f490dd4be24fc00";"21994";"Wed Jul  8 23:46:25 2020";"";""
"CONTACT Software GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"04.06.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9ac9f17475070ed4";"21994";"Wed Jul  8 23:46:25 2020"
"PHOENIX CONTACT Software GmbH Lemgo";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Phoenix Contact GmbH & Co. KG (Blomberg)";"11.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e2cf9f9f21a01b2c";"21994";"Wed Jul  8 23:46:25 2020"
"Phoenix Contact GmbH & Co. KG Blomberg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"06.02.2019";"0d747c0b2dd5781887ce3d83356491d9";"e2cf9f9f21a01b2c";"21994";"Wed Jul  8 23:46:25 2020";"";""
"CONTACT Software GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"30.04.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"59641b99e80e50e0";"21994";"Wed Jul  8 23:46:25 2020"
"PHOENIX CONTACT Software GmbH Lemgo";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Phoenix Contact GmbH & Co. KG (Blomberg)";"16.02.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"3e8f0a67d0b0a57b";"21994";"Wed Jul  8 23:46:25 2020"
"Phoenix Contact GmbH & Co. KG Blomberg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.02.2018";"0d747c0b2dd5781887ce3d83356491d9";"3e8f0a67d0b0a57b";"21994";"Wed Jul  8 23:46:25 2020";"";""
"CONTACT Software GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"04.05.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"5d3085ecc0e8755d";"21994";"Wed Jul  8 23:46:25 2020"
"PHOENIX CONTACT Software GmbH (vormals: KW-Software GmbH) Lemgo";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 Phoenix Contact GmbH & Co. KG (Blomberg)";"13.02.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b6e11f429f952dc3";"21994";"Wed Jul  8 23:46:25 2020"
"Phoenix Contact GmbH & Co. KG Blomberg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"27.01.2017";"0d747c0b2dd5781887ce3d83356491d9";"b6e11f429f952dc3";"21994";"Wed Jul  8 23:46:25 2020";"";""
"CONTACT Software GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"23.05.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"84682e105960bbe8";"21994";"Wed Jul  8 23:46:25 2020"
"PHOENIX CONTACT Software GmbH Lemgo";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 Phoenix Contact GmbH & Co. KG (Blomberg)";"15.02.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b927fdc9d2e961bc";"21994";"Wed Jul  8 23:46:25 2020"
"Phoenix Contact GmbH & Co. KG Blomberg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"22.01.2016";"0d747c0b2dd5781887ce3d83356491d9";"b927fdc9d2e961bc";"21994";"Wed Jul  8 23:46:25 2020";"";""
"CONTACT Software GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"26.08.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"68ac862107f6ef85";"21994";"Wed Jul  8 23:46:25 2020"
"CONTACT Software GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"15.05.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c7823118f62ddb0b";"21994";"Wed Jul  8 23:46:25 2020"
"CONTACT Software GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"20.06.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"9de53723034e2a08";"21994";"Wed Jul  8 23:46:25 2020"
"CONTACT Software GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"10.08.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"5a669b7beedfe9d0";"21994";"Wed Jul  8 23:46:25 2020"
"CONTACT Software GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"10.08.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"3704f6219f74b835";"21994";"Wed Jul  8 23:46:25 2020"
"CONTACT Software GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"10.08.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"033e17fe4c6ee608";"21994";"Wed Jul  8 23:46:25 2020"
"CONTACT Software GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"24.02.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"8e8e2d1ec1576eae";"21994";"Wed Jul  8 23:46:25 2020"
"CONTACT Software GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2006 bis zum 31.12.2006";"24.02.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d2771b5ce1a26599";"21994";"Wed Jul  8 23:46:25 2020"
"MAFO Software GmbH (vormals: Contact Agent GmbH) Olbersdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"24.11.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"44c999248e3e79cd";"21994";"Wed Jul  8 23:46:25 2020"
