"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"CTG Cleanteam Gebäudemanagement GmbH Schramberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.06.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b8d4a04edd358ff1";"34525";"Wed Jul  8 23:24:45 2020"
"CTG Cleanteam Gebäudemanagement GmbH Schramberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"27.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fac26d18dc606e7c";"34525";"Wed Jul  8 23:24:45 2020"
"CTG Cleanteam Gebäudemanagement GmbH Schramberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"22.11.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"ee41b729f1d3f6dc";"34525";"Wed Jul  8 23:24:45 2020"
"CTG Cleanteam Gebäudemanagement GmbH Schramberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"04.08.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"ffedca3821937a57";"34525";"Wed Jul  8 23:24:45 2020"
"CTG Cleanteam Gebäudemanagement GmbH Schramberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"12.01.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"cf94b5ea74a757d4";"34525";"Wed Jul  8 23:24:45 2020"
"CTG Cleanteam Gebäudemanagement GmbH Schramberg (vormals: Gutach Schwarzwaldbahn)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"03.06.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"37d20a14f76ff7a3";"34525";"Wed Jul  8 23:24:45 2020"
"CTG Cleanteam Gebäudemanagement GmbH Gutach Schwarzwaldbahn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"10.04.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"cae98ddbad120352";"34525";"Wed Jul  8 23:24:45 2020"
"CTG Cleanteam Gebäudemanagement GmbH Gutach Schwarzwaldbahn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"08.06.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"3cf5e712b23f280c";"34525";"Wed Jul  8 23:24:45 2020"
"CTG Cleanteam Gebäudemanagement GmbH Gutach Schwarzwaldbahn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"28.04.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"62a9b65125a77f18";"34525";"Wed Jul  8 23:24:45 2020"
"CTG Cleanteam Gebäudemanagement GmbH Gutach Schwarzwaldbahn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.09.2009 bis zum 31.12.2009";"16.08.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"a22d960d8b45fb19";"34525";"Wed Jul  8 23:24:45 2020"
