"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Carl Mahr GmbH & Co. KG Göttingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"09.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6b144ef83a299cf2";"62716";"Wed Jul  8 23:40:52 2020"
"Carl Mahr GmbH & Co. KG Göttingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"05.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"00785bba6f6b8e2e";"62716";"Wed Jul  8 23:40:52 2020"
"Carl Mahr GmbH & Co. KG Göttingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"11.12.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"1999983af31f1d11";"62716";"Wed Jul  8 23:40:52 2020"
"Carl Mahr GmbH & Co. KG Göttingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"14.12.2016";"98%";"0d747c0b2dd5781887ce3d83356491d9";"37c3d55629914eda";"62716";"Wed Jul  8 23:40:52 2020"
"Carl Mahr GmbH & Co. KG Göttingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"05.10.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"c26d82b62e0e41e8";"62716";"Wed Jul  8 23:40:52 2020"
"Carl Mahr GmbH & Co. KG Göttingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"27.01.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"541fb9d43a215f22";"62716";"Wed Jul  8 23:40:52 2020"
"Carl Mahr GmbH & Co. KG Göttingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"23.08.2013";"98%";"0d747c0b2dd5781887ce3d83356491d9";"66bd6c374bbdbaaa";"62716";"Wed Jul  8 23:40:52 2020"
"Carl Mahr GmbH & Co. KG Göttingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"18.09.2012";"98%";"0d747c0b2dd5781887ce3d83356491d9";"cadff2396aaf2580";"62716";"Wed Jul  8 23:40:52 2020"
"Carl Mahr GmbH & Co. KG Göttingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"26.08.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"8e60608407119653";"62716";"Wed Jul  8 23:40:52 2020"
"Carl Mahr GmbH & Co. KG Göttingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"08.03.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"4009cd793fe85905";"62716";"Wed Jul  8 23:40:52 2020"
"Carl Mahr GmbH & Co. KG Göttingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"17.11.2009";"98%";"0d747c0b2dd5781887ce3d83356491d9";"b08568c80e8d202f";"62716";"Wed Jul  8 23:40:52 2020"
"Carl Mahr GmbH & Co. KG Göttingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"04.12.2008";"98%";"0d747c0b2dd5781887ce3d83356491d9";"981342e9b3166fc8";"62716";"Wed Jul  8 23:40:52 2020"
"Carl Mahr GmbH & Co. KG Göttingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"11.03.2008";"98%";"0d747c0b2dd5781887ce3d83356491d9";"d7f45867d4cab7c6";"62716";"Wed Jul  8 23:40:52 2020"
"Mahr Helios Messtechnik GmbH & Co. KG Dörzbach";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB - Geschäftsjahr 2006 -  Carl Mahr Holding GmbH (Göttingen)";"25.02.2008";"93%";"0d747c0b2dd5781887ce3d83356491d9";"2c7e1ccc26bb1a15";"62716";"Wed Jul  8 23:40:52 2020"
"Bremer Landesbank Kreditanstalt Oldenburg -Girozentrale- Bremen";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2016";"26.09.2016";"3%";"0d747c0b2dd5781887ce3d83356491d9";"83a936f3a4f4a10c";"62716";"Wed Jul  8 23:40:52 2020"
"Bremer Landesbank Kreditanstalt Oldenburg -Girozentrale- Bremen";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2015";"02.10.2015";"3%";"0d747c0b2dd5781887ce3d83356491d9";"5af217e9957d0ad3";"62716";"Wed Jul  8 23:40:52 2020"
"Bremer Landesbank Kreditanstalt Oldenburg -Girozentrale- Bremen";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2014";"08.09.2014";"3%";"0d747c0b2dd5781887ce3d83356491d9";"cdfc9092f8a7464c";"62716";"Wed Jul  8 23:40:52 2020"
