"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Cetacea GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"08.11.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"95ee27d6f784c6b6";"00695";"Wed Jul  8 22:59:55 2020"
"Cetacea GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"27.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"bcfa95b4f1405145";"00695";"Wed Jul  8 22:59:55 2020"
"Cetacea GmbH (vormals: CetaCea Communications & Public Relations GmbH) München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"05.12.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"643834bf35659e69";"00695";"Wed Jul  8 22:59:55 2020"
"Cetacea GmbH (vormals: CetaCea Communications & Public Relations GmbH) München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"09.12.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"02d28136cf846fbc";"00695";"Wed Jul  8 22:59:55 2020"
"CetaCea Communications & Public Relations GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"01.12.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ead78558fa4db456";"00695";"Wed Jul  8 22:59:55 2020"
"CetaCea Communications & Public Relations GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"13.01.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"afb88f21be717857";"00695";"Wed Jul  8 22:59:55 2020"
"CetaCea Communications & Public Relations GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"18.12.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c74c58e6a3a7cdf4";"00695";"Wed Jul  8 22:59:55 2020"
"CetaCea Communications & Public Relations GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"13.11.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"280e4736ff341dcf";"00695";"Wed Jul  8 22:59:55 2020"
"CetaCea Communications & Public Relations GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"05.12.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b2e47f6cac1a0cec";"00695";"Wed Jul  8 22:59:55 2020"
"CetaCea Communications & Public Relations GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"17.12.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a5e6120127dc2cc2";"00695";"Wed Jul  8 22:59:55 2020"
"CetaCea Communications & Public Relations GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"04.01.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"79da9fde66e45933";"00695";"Wed Jul  8 22:59:55 2020"
"CetaCea Communications & Public Relations GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"14.01.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"cc5285b7ed95f78a";"00695";"Wed Jul  8 22:59:55 2020"
