"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Concept Finance GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"cb21939120e85c3e";"42874";"Wed Jul  8 23:19:17 2020"
"DF Deutsche Finance Concept GmbH München";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 DF Deutsche Finance Holding AG (München)";"22.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"818f26752f35a05f";"42874";"Wed Jul  8 23:19:17 2020"
"DF Deutsche Finance Holding AG München";"» Jahres- und Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"07.02.2020";"0d747c0b2dd5781887ce3d83356491d9";"818f26752f35a05f";"42874";"Wed Jul  8 23:19:17 2020";"";""
"Concept Finance GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"06.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b8b9c1c5d39d0eb8";"42874";"Wed Jul  8 23:19:17 2020"
"DF Deutsche Finance Concept GmbH München";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 DF Deutsche Finance Holding AG (München)";"04.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"4143e1ac87be9249";"42874";"Wed Jul  8 23:19:17 2020"
"DF Deutsche Finance Holding AG München";"» Jahres- und Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"13.02.2019";"0d747c0b2dd5781887ce3d83356491d9";"4143e1ac87be9249";"42874";"Wed Jul  8 23:19:17 2020";"";""
"Concept Finance GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Ergänzung der Veröffentlichung vom 23.04.2018";"31.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ae4756aab14153cc";"42874";"Wed Jul  8 23:19:17 2020"
"Concept Finance GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Ergänzt am 31.01.2019";"23.04.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"53b72074501fa5bb";"42874";"Wed Jul  8 23:19:17 2020"
"GW Finance Concept GmbH (vormals: GDS - Finance Concept GmbH) Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"04.04.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"63baf9fcf957d822";"42874";"Wed Jul  8 23:19:17 2020"
"DF Deutsche Finance Concept GmbH München";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 DF Deutsche Finance Holding AG (München)";"23.01.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f6c794fc5a2d0d52";"42874";"Wed Jul  8 23:19:17 2020"
"DF Deutsche Finance Holding AG München";"» Jahres- und Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"14.02.2018";"0d747c0b2dd5781887ce3d83356491d9";"f6c794fc5a2d0d52";"42874";"Wed Jul  8 23:19:17 2020";"";""
"Concept Finance GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"20.04.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"fa5a9a76a4f1c78f";"42874";"Wed Jul  8 23:19:17 2020"
"Omega Projekt Senden GmbH & Co. KG (vormals: PRIMUS Concept Private Finance NÜRNBERG
                                       GmbH & Co. KG) Planegg (vormals: München)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"14.02.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"5b2f810a860e86cb";"42874";"Wed Jul  8 23:19:17 2020"
"Concept Finance GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"13.04.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e0309bdda4e8b3c9";"42874";"Wed Jul  8 23:19:17 2020"
"CFC Creative Finance Concept GmbH München (vormals: Gräfelfing)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"26.01.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"9be3d4d8ac30a160";"42874";"Wed Jul  8 23:19:17 2020"
"GDS - Finance Concept GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"24.06.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d80222ff700ae72a";"42874";"Wed Jul  8 23:19:17 2020"
"GDS - Finance Concept GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"15.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ea27c400be4f9fdf";"42874";"Wed Jul  8 23:19:17 2020"
"CFC Creative Finance Concept GmbH Gräfelfing";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"12.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"53252570c0fc5b45";"42874";"Wed Jul  8 23:19:17 2020"
"Concept Finance GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"15.12.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0df541a12de087ab";"42874";"Wed Jul  8 23:19:17 2020"
"Concept Finance GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Berichtigung der Veröffentlichung vom 25.04.2014";"20.06.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"04c53cd595cbc18a";"42874";"Wed Jul  8 23:19:17 2020"
"GDS - Finance Concept GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Ergänzung der Veröffentlichung vom 20.02.2014";"20.05.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"094afda28b9628f6";"42874";"Wed Jul  8 23:19:17 2020"
"CapitalConcept GmbH & Co. Finance KG Oberhaching";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"19.05.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b46cc57c7c86861e";"42874";"Wed Jul  8 23:19:17 2020"
"Concept Finance GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Berichtigt am 20.06.2014";"25.04.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1c60948671d4a270";"42874";"Wed Jul  8 23:19:17 2020"
