"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Coronia service GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"31.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1c191f41a5229216";"82273";"Wed Jul  8 23:24:02 2020"
"Coronia service GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7030043fd2366194";"82273";"Wed Jul  8 23:24:02 2020"
"Coronia service GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"03.08.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"635c000551438227";"82273";"Wed Jul  8 23:24:02 2020"
"Coronia service GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"14.09.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2f706732d45428fb";"82273";"Wed Jul  8 23:24:02 2020"
"Coronia service GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"01.06.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e8f1c242bd56fc23";"82273";"Wed Jul  8 23:24:02 2020"
"Coronia service GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"14.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"af70bf96543f7250";"82273";"Wed Jul  8 23:24:02 2020"
"Coronia service GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"25.06.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ae69afe955ebb19a";"82273";"Wed Jul  8 23:24:02 2020"
"Coronia service GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"11.05.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"299c375763ce456a";"82273";"Wed Jul  8 23:24:02 2020"
"Coronia service GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"21.04.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"314c77ff5b11dfca";"82273";"Wed Jul  8 23:24:02 2020"
"Coronia service GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"25.05.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b561271fa4837b66";"82273";"Wed Jul  8 23:24:02 2020"
"Coronia service GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"30.06.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"03fd1af6eac10c12";"82273";"Wed Jul  8 23:24:02 2020"
"Coronia service GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"06.03.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ffdd71ebeb0cea70";"82273";"Wed Jul  8 23:24:02 2020"
"Coronia service GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"04.12.2007";"95%";"0d747c0b2dd5781887ce3d83356491d9";"97ae4cbf38dcd1a6";"82273";"Wed Jul  8 23:24:02 2020"
