"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"cycos AG Alsdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"15.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"d7c9b3b35c5f0602";"88870";"Thu Jul  9 00:08:26 2020"
"cycos AG Alsdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e24d7daf0aede8ea";"88870";"Thu Jul  9 00:08:26 2020"
"cycos AG Alsdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"30.05.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"91330b4fccc38712";"88870";"Thu Jul  9 00:08:26 2020"
"cycos AG Alsdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2016 bis zum 31.12.2016";"16.05.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"4aff144a192a4aa3";"88870";"Thu Jul  9 00:08:26 2020"
"cycos AG Alsdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2015 bis zum 30.09.2016";"02.03.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"264fb7a9e216db81";"88870";"Thu Jul  9 00:08:26 2020"
"cycos AG Alsdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2014 bis zum 30.09.2015";"09.03.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"77a8a3e8af5aabd7";"88870";"Thu Jul  9 00:08:26 2020"
"cycos AG Alsdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2013 bis zum 30.09.2014";"09.03.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"5b3734bb5629bed2";"88870";"Thu Jul  9 00:08:26 2020"
"cycos AG Alsdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2012 bis zum 30.09.2013";"25.03.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"99b6ca1e66d6ee31";"88870";"Thu Jul  9 00:08:26 2020"
"cycos AG Alsdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2011 bis zum 30.09.2012";"13.02.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"20034839859cd986";"88870";"Thu Jul  9 00:08:26 2020"
"cycos AG Alsdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2010 bis zum 30.09.2011";"29.12.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e0ce2a854bb3be88";"88870";"Thu Jul  9 00:08:26 2020"
