"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"DGA Medien GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.09.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5e13c75104bae1bb";"35869";"Thu Jul  9 00:06:34 2020"
"DGA Medien GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"13.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a177468048f1705a";"35869";"Thu Jul  9 00:06:34 2020"
"DGA Medien GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"09.04.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"77484347ebe64cd8";"35869";"Thu Jul  9 00:06:34 2020"
"DGA Medien GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"03.04.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"495f76bde1caf95f";"35869";"Thu Jul  9 00:06:34 2020"
"DGA Medien GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"09.03.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"aa773e2a02a0a493";"35869";"Thu Jul  9 00:06:34 2020"
"DGA Medien GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013 Ergänzung der Veröffentlichung vom 14.04.2015";"06.01.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"376dd0e13771a1b0";"35869";"Thu Jul  9 00:06:34 2020"
"DGA Medien GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013 Ergänzt am 06.01.2016";"14.04.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c567f73d6ee44c0a";"35869";"Thu Jul  9 00:06:34 2020"
"DGA Medien GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Berichtigung der Veröffentlichung vom 13.05.2014";"25.06.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2394a55b04356783";"35869";"Thu Jul  9 00:06:34 2020"
"DGA Medien GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Berichtigt am 25.06.2014";"13.05.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f6b702658550f085";"35869";"Thu Jul  9 00:06:34 2020"
"DGA Medien GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011 Berichtigung der Veröffentlichung vom 13.06.2013";"08.07.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"83f05c14ee2382f9";"35869";"Thu Jul  9 00:06:34 2020"
"DGA Medien GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011 Berichtigt am 08.07.2013";"13.06.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"5acb8890d8852de9";"35869";"Thu Jul  9 00:06:34 2020"
"DGA Medien GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"18.04.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"40376ad33071fdd2";"35869";"Thu Jul  9 00:06:34 2020"
