"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"DLC GmbH Dienstleistungscenter Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.07.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f4568f59bb330ef0";"01568";"Wed Jul  8 23:13:17 2020"
"DLC GmbH Dienstleistungscenter Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"02.04.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c1a643c6f4c3c492";"01568";"Wed Jul  8 23:13:17 2020"
"DLC GmbH Dienstleistungscenter Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"08.03.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"938746fbf13c24a6";"01568";"Wed Jul  8 23:13:17 2020"
"DLC GmbH Dienstleistungscenter Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"25.04.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c469849c9db17b39";"01568";"Wed Jul  8 23:13:17 2020"
"DLC GmbH Dienstleistungscenter Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"15.04.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c73d4d3169ab4f2d";"01568";"Wed Jul  8 23:13:17 2020"
"DLC GmbH Dienstleistungscenter Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"10.04.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"381dfa4299a16072";"01568";"Wed Jul  8 23:13:17 2020"
"DLC- Dienstleistungscenter für Arbeitsmarkt- und Strukturentwicklung Schlema GmbH Schlema";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"03.06.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"757711af428a0acc";"01568";"Wed Jul  8 23:13:17 2020"
"DLC GmbH Dienstleistungscenter Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"22.04.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b4c8e975d6054d96";"01568";"Wed Jul  8 23:13:17 2020"
"DLC- Dienstleistungscenter für Arbeitsmarkt- und Strukturentwicklung Schlema GmbH Schlema";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"18.03.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b98cf93f3554ccba";"01568";"Wed Jul  8 23:13:17 2020"
"DLC- Dienstleistungscenter für Arbeitsmarkt- und Strukturentwicklung Schlema GmbH Schlema";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"15.10.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"92e8623e9c4d3163";"01568";"Wed Jul  8 23:13:17 2020"
