"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"DOS Software-Systeme GmbH Hann.Münden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"15.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"be947c973588aeb8";"60235";"Thu Jul  9 00:13:10 2020"
"DOS Software-Systeme GmbH Hann.Münden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"09.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"62ae438a8253f092";"60235";"Thu Jul  9 00:13:10 2020"
"DOS Software-Systeme GmbH Hann.Münden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"08.12.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"15e13d92c137362c";"60235";"Thu Jul  9 00:13:10 2020"
"DOS Software-Systeme GmbH Hann.Münden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"28.09.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"0e1f289269127897";"60235";"Thu Jul  9 00:13:10 2020"
"DOS Software-Systeme GmbH Hann.Münden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"10.11.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"033efe86668dc688";"60235";"Thu Jul  9 00:13:10 2020"
"DOS Software-Systeme GmbH Hann.Münden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"20.11.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"b46b637e29785302";"60235";"Thu Jul  9 00:13:10 2020"
"DOS Software-Systeme GmbH Hann.Münden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"08.11.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"467f1d5b47e279d0";"60235";"Thu Jul  9 00:13:10 2020"
"DOS Software-Systeme GmbH Hann.Münden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"27.08.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"07cf62383bb8ac08";"60235";"Thu Jul  9 00:13:10 2020"
"DOS Software-Systeme GmbH Hann.Münden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"19.01.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"9288101507ee7338";"60235";"Thu Jul  9 00:13:10 2020"
"DOS Software-Systeme GmbH Hann.Münden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"21.12.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"6dcd29a5c8667089";"60235";"Thu Jul  9 00:13:10 2020"
"DOS Software-Systeme GmbH Hann.Münden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"21.12.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"94cbbac27c2c5eb2";"60235";"Thu Jul  9 00:13:10 2020"
"DOS Software - Systeme GMBH Hann.- Münden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"17.12.2008";"97%";"0d747c0b2dd5781887ce3d83356491d9";"9910ab42802518eb";"60235";"Thu Jul  9 00:13:10 2020"
"DOS Software-Systeme GmbH Hann.Münden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"09.07.2008";"97%";"0d747c0b2dd5781887ce3d83356491d9";"347cb2f7a215e87b";"60235";"Thu Jul  9 00:13:10 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"29.12.2017";"4%";"0d747c0b2dd5781887ce3d83356491d9";"7972748dab24dad1";"60235";"Thu Jul  9 00:13:10 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2015";"02.10.2015";"4%";"0d747c0b2dd5781887ce3d83356491d9";"1af0beb0d15ca3fe";"60235";"Thu Jul  9 00:13:10 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2010";"26.11.2010";"4%";"0d747c0b2dd5781887ce3d83356491d9";"535b51d37db69c9b";"60235";"Thu Jul  9 00:13:10 2020"
