"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"dp elektronik GmbH Langenhagen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"834eebc56e4c242d";"59319";"Wed Jul  8 22:30:15 2020"
"dp elektronik GmbH Langenhagen (vormals: Isernhagen)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"02.10.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"396b0b17def1c404";"59319";"Wed Jul  8 22:30:15 2020"
"dp elektronik GmbH Isernhagen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"27.01.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"66c813b03aaa8949";"59319";"Wed Jul  8 22:30:15 2020"
"dp elektronik GmbH Isernhagen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"04.11.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"da3ad4ecea325e9a";"59319";"Wed Jul  8 22:30:15 2020"
"dp elektronik GmbH Isernhagen (vormals: Dreieich)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"16.01.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"51565b213213804e";"59319";"Wed Jul  8 22:30:15 2020"
"dp elektronik GmbH (vormals: dp elektronik Vertriebsgesellschaft für Informations-,
                                        Kommunikations- und Datentechnik mbH) Dreieich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"24.05.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"06ee5282731057e2";"59319";"Wed Jul  8 22:30:15 2020"
"dp elektronik Vertriebsgesellschaft für Informations-,  Kommunikations- und Datentechnik mbH Dreieich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"04.01.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"1eeab6651b1c386c";"59319";"Wed Jul  8 22:30:15 2020"
"dp elektronik Vertriebsgesellschaft für Informations-,  Kommunikations- und Datentechnik mbH Dreieich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"24.03.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"711478ff28cfce02";"59319";"Wed Jul  8 22:30:15 2020"
"dp elektronik Vertriebsgesellschaft für Informations-,  Kommunikations- und Datentechnik mbH Dreieich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"05.03.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"75cf96e97a5db77b";"59319";"Wed Jul  8 22:30:15 2020"
"dp elektronik Vertriebsgesellschaft für Informations-,  Kommunikations- u. Datentechnik mbH Dreieich-Buchschlag";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"07.04.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"53bfe1ce3da862cb";"59319";"Wed Jul  8 22:30:15 2020"
"PB Spezial-Investmentaktiengesellschaft mit Teilgesellschaftsvermögen Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresbericht für das Rumpfgeschäftsjahr  bis zum 31.12.2008";"19.06.2009";"9%";"0d747c0b2dd5781887ce3d83356491d9";"7f206a1f354944af";"59319";"Wed Jul  8 22:30:15 2020"
