"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"DPS Timework Personalservice GmbH Winningen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"248fb63f125e6bf9";"93844";"Wed Jul  8 23:04:54 2020"
"DPS Timework Personalservice GmbH Winningen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"22.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fb8341c966cbe795";"93844";"Wed Jul  8 23:04:54 2020"
"DPS Timework Personalservice GmbH Winningen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"05.07.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"a7330e4d0145dc9b";"93844";"Wed Jul  8 23:04:54 2020"
"DPS Timework Personalservice GmbH Winningen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"16.12.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"a23dfa43be1d77b3";"93844";"Wed Jul  8 23:04:54 2020"
"DPS Timework Personalservice GmbH Winningen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"01.12.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"02ec30e6281b6cb8";"93844";"Wed Jul  8 23:04:54 2020"
"DPS Timework Personalservice GmbH Winningen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"15.01.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"3fbd44bf392f6499";"93844";"Wed Jul  8 23:04:54 2020"
"DPS Timework Personalservice GmbH Winningen (vormals: Weißenthurm)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"12.02.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"37e9d7c7eec7e8fb";"93844";"Wed Jul  8 23:04:54 2020"
"DPS Timework Personalservice GmbH Winningen (vormals: Weißenthurm)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"23.01.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"476475da820d8812";"93844";"Wed Jul  8 23:04:54 2020"
"DPS Timework Personalservice GmbH Weißenthurm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"24.01.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"a37656515b5d395f";"93844";"Wed Jul  8 23:04:54 2020"
"DPS Timework Personalservice GmbH Weißenthurm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"24.01.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"5a4b604be52bff68";"93844";"Wed Jul  8 23:04:54 2020"
"DPS Timework Personalservice GmbH Weißenthurm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"21.01.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"a7cae497eee30005";"93844";"Wed Jul  8 23:04:54 2020"
"DPS Timework Personalservice GmbH Weißenthurm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"30.01.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"82d99acd45cc6f73";"93844";"Wed Jul  8 23:04:54 2020"
"DPS timework Personalservice GmbH Weißenthurm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"28.01.2008";"97%";"0d747c0b2dd5781887ce3d83356491d9";"8ab1cca5acc6a2e8";"93844";"Wed Jul  8 23:04:54 2020"
