"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Dengg Kliniken Consult GmbH Bad Rothenfelde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"268320f7ab9a74c6";"79576";"Wed Jul  8 22:51:08 2020"
"Dengg Kliniken Consult GmbH Bad Rothenfelde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"21b7faaa91c14b90";"79576";"Wed Jul  8 22:51:08 2020"
"Dengg Kliniken Consult GmbH Bad Rothenfelde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"03.01.2018";"97%";"0d747c0b2dd5781887ce3d83356491d9";"65e5abc05fc79e26";"79576";"Wed Jul  8 22:51:08 2020"
"Dengg Kliniken Consult GmbH Bad Rothenfelde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"29.11.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"396fcfa32a3064e0";"79576";"Wed Jul  8 22:51:08 2020"
"Dengg Kliniken Consult GmbH Bad Rothenfelde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"08.01.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"a835f6644dadb2a7";"79576";"Wed Jul  8 22:51:08 2020"
"Dengg Kliniken Consult GmbH Bad Rothenfelde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"27.11.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"403e3b9ba9d22a0a";"79576";"Wed Jul  8 22:51:08 2020"
"Dengg Kliniken Consult GmbH Bad Rothenfelde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"07.01.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"e1bfc59de1205276";"79576";"Wed Jul  8 22:51:08 2020"
"Dengg Kliniken Consult GmbH Bad Rothenfelde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"11.01.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"2d08674f68742e36";"79576";"Wed Jul  8 22:51:08 2020"
"Dengg Kliniken Consult GmbH Bad Rothenfelde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"13.12.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"5f239c6a942d4954";"79576";"Wed Jul  8 22:51:08 2020"
"Dengg Kliniken Consult GmbH Bad Rothenfelde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"23.12.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"88ca169518ddaedb";"79576";"Wed Jul  8 22:51:08 2020"
"Dengg Kliniken Consult GmbH Bad Rothenfelde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"03.02.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"87c23b9c91f55b82";"79576";"Wed Jul  8 22:51:08 2020"
"Dengg Kliniken Consult GmbH Bad Rothenfelde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"05.01.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"3c070a4309db133a";"79576";"Wed Jul  8 22:51:08 2020"
"DENGG KLINIKEN Consult GmbH Bad Rothenfelde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"22.11.2007";"97%";"0d747c0b2dd5781887ce3d83356491d9";"c3df7ac19c0e99b0";"79576";"Wed Jul  8 22:51:08 2020"
