"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Dr. Brunthaler Industrielle Informationstechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Berichtigung der Veröffentlichung vom 26.03.2020";"08.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c836825dba635b88";"47938";"Thu Jul  9 00:04:54 2020"
"Dr. Brunthaler Industrielle Informationstechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Berichtigt am 08.04.2020";"26.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8fe6b414c396df8b";"47938";"Thu Jul  9 00:04:54 2020"
"Dr. Brunthaler Industrielle Informationstechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0a3db5e2fe83448d";"47938";"Thu Jul  9 00:04:54 2020"
"Dr. Brunthaler Industrielle Informationstechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"06.12.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"a0ba095f805a110c";"47938";"Thu Jul  9 00:04:54 2020"
"Dr. Brunthaler Industrielle Informationstechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"02.05.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"27bac106197f45bc";"47938";"Thu Jul  9 00:04:54 2020"
"Dr. Brunthaler Industrielle Informationstechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"18.01.2016";"98%";"0d747c0b2dd5781887ce3d83356491d9";"f9fff3f48d6e9095";"47938";"Thu Jul  9 00:04:54 2020"
"Dr. Brunthaler Industrielle Informationstechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013 Berichtigung der Veröffentlichung vom 17.09.2015";"30.09.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"6fe1359b90feddbb";"47938";"Thu Jul  9 00:04:54 2020"
"Dr. Brunthaler Industrielle Informationstechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013 Berichtigt am 30.09.2015";"17.09.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"68df359bf6c38865";"47938";"Thu Jul  9 00:04:54 2020"
"Dr. Brunthaler Industrielle Informationstechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"29.01.2014";"98%";"0d747c0b2dd5781887ce3d83356491d9";"d14c04ebeddd5a7c";"47938";"Thu Jul  9 00:04:54 2020"
"Dr. Brunthaler Industrielle Informationstechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"12.02.2013";"98%";"0d747c0b2dd5781887ce3d83356491d9";"4de3721b418e170e";"47938";"Thu Jul  9 00:04:54 2020"
"Dr. Brunthaler Industrielle Informationstechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"01.03.2012";"98%";"0d747c0b2dd5781887ce3d83356491d9";"5c3c9b4bf665eda0";"47938";"Thu Jul  9 00:04:54 2020"
"Dr. Brunthaler Industrielle Informationstechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"27.10.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"c59df293c27e2490";"47938";"Thu Jul  9 00:04:54 2020"
"Dr. Brunthaler Industrielle Informationstechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"05.05.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"033ae70522d7bd36";"47938";"Thu Jul  9 00:04:54 2020"
"Dr. Brunthaler Industrielle Informationstechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"06.04.2009";"98%";"0d747c0b2dd5781887ce3d83356491d9";"0a613fd12c8124a0";"47938";"Thu Jul  9 00:04:54 2020"
"Dr. Brunthaler Industrielle Informationstechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"06.03.2008";"98%";"0d747c0b2dd5781887ce3d83356491d9";"a00298304812a879";"47938";"Thu Jul  9 00:04:54 2020"
