"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"EDV Partner Scheffler & Prinz GmbH Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"10.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"de0e7237d9c61e3f";"99840";"Thu Jul  9 00:08:24 2020"
"EDV Partner Scheffler & Prinz GmbH Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"26.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2ea1d2d33295bad3";"99840";"Thu Jul  9 00:08:24 2020"
"EDV Partner Scheffler & Prinz GmbH Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"25.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"68f486c38037f350";"99840";"Thu Jul  9 00:08:24 2020"
"EDV Partner Scheffler & Prinz GmbH Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"17.07.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"df5f281494f52659";"99840";"Thu Jul  9 00:08:24 2020"
"EDV Partner Scheffler & Prinz GmbH Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"17.06.2016";"98%";"0d747c0b2dd5781887ce3d83356491d9";"c6286c912b08e543";"99840";"Thu Jul  9 00:08:24 2020"
"EDV Partner Scheffler & Prinz GmbH Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"14.01.2016";"98%";"0d747c0b2dd5781887ce3d83356491d9";"1629020b1d1b15b6";"99840";"Thu Jul  9 00:08:24 2020"
"EDV Partner Scheffler & Prinz GmbH Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"16.07.2014";"98%";"0d747c0b2dd5781887ce3d83356491d9";"96a8808e42aa3feb";"99840";"Thu Jul  9 00:08:24 2020"
"EDV Partner Scheffler & Prinz GmbH Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"29.05.2013";"98%";"0d747c0b2dd5781887ce3d83356491d9";"1b6989a4864f4733";"99840";"Thu Jul  9 00:08:24 2020"
"EDV Partner Scheffler & Prinz GmbH Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"23.05.2012";"98%";"0d747c0b2dd5781887ce3d83356491d9";"340d4aa8cf70c7c8";"99840";"Thu Jul  9 00:08:24 2020"
"EDV Partner Scheffler & Prinz GmbH Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"11.07.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"d13a3fe995890ab9";"99840";"Thu Jul  9 00:08:24 2020"
"EDV Partner Scheffler & Prinz GmbH Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"09.12.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"b79dcc9a64ff9d00";"99840";"Thu Jul  9 00:08:24 2020"
"EDV Partner Scheffler & Prinz GmbH Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"30.09.2009";"98%";"0d747c0b2dd5781887ce3d83356491d9";"bfe4b4cf9f44ac52";"99840";"Thu Jul  9 00:08:24 2020"
"EDV-Partner Scheffler & Prinz GmbH,  Computerorientierte Branchenlösungen Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"19.12.2008";"98%";"0d747c0b2dd5781887ce3d83356491d9";"21f17f973c5d6a73";"99840";"Thu Jul  9 00:08:24 2020"
"EDV Partner Scheffler & Prinz GmbH Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"17.12.2007";"98%";"0d747c0b2dd5781887ce3d83356491d9";"6b8643864e0bfc7d";"99840";"Thu Jul  9 00:08:24 2020"
