"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"EFK Entwicklungsgesellschaft für Kommunikationssysteme mbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0fdb1dd5e35b522e";"99999";"Wed Jul  8 23:40:46 2020"
"EFK Entwicklungsgesellschaft für Kommunikationssysteme mbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"16.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"68abb9abd1c89ef9";"99999";"Wed Jul  8 23:40:46 2020"
"EFK Entwicklungsgesellschaft für Kommunikationssysteme mbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"19.02.2018";"98%";"0d747c0b2dd5781887ce3d83356491d9";"80d1918c424c3f0f";"99999";"Wed Jul  8 23:40:46 2020"
"EFK Entwicklungsgesellschaft für Kommunikationssysteme mbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"03.01.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"0bac7260599f2b25";"99999";"Wed Jul  8 23:40:46 2020"
"EFK Entwicklungsgesellschaft für Kommunikationssysteme mbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"10.08.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"01dc0370e1f027ba";"99999";"Wed Jul  8 23:40:46 2020"
"EFK Entwicklungsgesellschaft für Kommunikationssysteme mbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"26.06.2014";"98%";"0d747c0b2dd5781887ce3d83356491d9";"0db690428e8a3499";"99999";"Wed Jul  8 23:40:46 2020"
"EFK Entwicklungsgesellschaft für Kommunikationssysteme mbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"02.08.2013";"98%";"0d747c0b2dd5781887ce3d83356491d9";"7c8d112b5d329016";"99999";"Wed Jul  8 23:40:46 2020"
"EFK Entwicklungsgesellschaft für Kommunikationssysteme mbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"20.08.2012";"98%";"0d747c0b2dd5781887ce3d83356491d9";"766b0f03d62efd4d";"99999";"Wed Jul  8 23:40:46 2020"
"EFK Entwicklungsgesellschaft für Kommunikationssysteme mbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"12.08.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"c828668f413d29f4";"99999";"Wed Jul  8 23:40:46 2020"
"EFK Entwicklungsgesellschaft für Kommunikationssysteme mbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"28.01.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"86214acb0a9fbe19";"99999";"Wed Jul  8 23:40:46 2020"
"EFK Entwicklungsgesellschaft für Kommunikationssysteme mbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"05.02.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"4e39c3f0e3cd10c5";"99999";"Wed Jul  8 23:40:46 2020"
