"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ENVIDATEC GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"15.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b79ce60b919bc17a";"13127";"Wed Jul  8 23:52:49 2020"
"ENVIDATEC GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"28.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ffc865d840267c0a";"13127";"Wed Jul  8 23:52:49 2020"
"ENVIDATEC GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"05.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"084f3b0020d8cb62";"13127";"Wed Jul  8 23:52:49 2020"
"ENVIDATEC GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"18.01.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"8c7265f33fa83c6b";"13127";"Wed Jul  8 23:52:49 2020"
"ENVIDATEC GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"21.01.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c1349fc647513d97";"13127";"Wed Jul  8 23:52:49 2020"
"ENVIDATEC GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"16.04.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d72212ec7fe4bd6f";"13127";"Wed Jul  8 23:52:49 2020"
"ENVIDATEC GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"05.04.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"8acbb4e6c9c3f57c";"13127";"Wed Jul  8 23:52:49 2020"
"ENVIDATEC GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"06.12.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"4fba1cb06f666656";"13127";"Wed Jul  8 23:52:49 2020"
"ENVIDATEC GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009 Berichtigung der Veröffentlichung vom 06.05.2010";"26.04.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ec594363f850ecad";"13127";"Wed Jul  8 23:52:49 2020"
"ENVIDATEC GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"06.04.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"7594ecd05c58704d";"13127";"Wed Jul  8 23:52:49 2020"
"ENVIDATEC GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009 Berichtigt am 26.04.2011";"06.05.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0410ea5b57b5667c";"13127";"Wed Jul  8 23:52:49 2020"
"ENVIDATEC GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"02.09.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ac6a7086aab1dc63";"13127";"Wed Jul  8 23:52:49 2020"
"ENVIDATEC GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2006 bis zum 31.12.2006 Berichtigung der Veröffentlichung vom 10.04.2008";"11.05.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"736aaf37808290ea";"13127";"Wed Jul  8 23:52:49 2020"
"ENVIDATEC GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"23.02.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"536431ac606f5840";"13127";"Wed Jul  8 23:52:49 2020"
"ENVIDATEC GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006 Berichtigt am 11.05.2009";"10.04.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"98f603974778db85";"13127";"Wed Jul  8 23:52:49 2020"
