"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ERM Ebersbacher Reststoff Management GmbH Ebersbach an der Fils";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"25.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1742a61bd2994c95";"91322";"Wed Jul  8 22:31:28 2020"
"Sanitätshaus Ermers GmbH Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"16.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8c062620d04d4125";"91322";"Wed Jul  8 22:31:28 2020"
"Knauer Holding GmbH & Co. KG (Dettingen an der Erms) München";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Blue Cap AG (München)";"27.05.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"00589e2c134e6342";"91322";"Wed Jul  8 22:31:28 2020"
"Blue Cap AG München";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"04.06.2020";"0d747c0b2dd5781887ce3d83356491d9";"00589e2c134e6342";"91322";"Wed Jul  8 22:31:28 2020";"";""
"Uniplast Knauer GmbH & Co. KG (Dettingen an der Erms) München";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Blue Cap AG (München)";"26.05.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2ab81d466b63580c";"91322";"Wed Jul  8 22:31:28 2020"
"Blue Cap AG München";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"04.06.2020";"0d747c0b2dd5781887ce3d83356491d9";"2ab81d466b63580c";"91322";"Wed Jul  8 22:31:28 2020";"";""
"ERM & IBB GmbH Weimar";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"12.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"688405778697dcef";"91322";"Wed Jul  8 22:31:28 2020"
"ErmstalEnergie Dettingen an der Erms GmbH & Co. KG Dettingen an der Erms";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 und Tätigkeitsabschluss";"06.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b2d27a7f3aa83a09";"91322";"Wed Jul  8 22:31:28 2020"
"ERM Emder Rohr- & Metallbau GmbH Bremerhaven";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"92154573e66f8c62";"91322";"Wed Jul  8 22:31:28 2020"
"Seniorenzentrum ERMS Besitzgesellschaft mbH & Co. KG Metzingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"24.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2520592663866114";"91322";"Wed Jul  8 22:31:28 2020"
"Seniorenzentrum ERMS Projektentwicklungsgesellschaft mbH Metzingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"24.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7bf22b9125cb861b";"91322";"Wed Jul  8 22:31:28 2020"
"ERM Ebersbacher Reststoff Management GmbH Ebersbach an der Fils";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"cc0bfc677116bdf9";"91322";"Wed Jul  8 22:31:28 2020"
"Maschinen- und Anlagenbau Ermer GmbH Weiden i.d.OPf.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"53ede2b9d8a811fd";"91322";"Wed Jul  8 22:31:28 2020"
"ERM Dipl.-Ing. Siesing GmbH & Co. KG Magdeburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"18.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"d6d20e58572852ee";"91322";"Wed Jul  8 22:31:28 2020"
"ERM Agrarservice-GmbH Wettringen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"09.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2895f1d0d14e6578";"91322";"Wed Jul  8 22:31:28 2020"
"Ermes u. Fraß GmbH Henstedt-Ulzburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.11.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"23b334a4b56a1b19";"91322";"Wed Jul  8 22:31:28 2020"
"Sanitätshaus Ermers GmbH Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"18.11.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e49e48c60dac10bb";"91322";"Wed Jul  8 22:31:28 2020"
"ERM European Relocation Management GmbH Ginsheim-Gustavsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"14.06.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5e08ba2b592c398e";"91322";"Wed Jul  8 22:31:28 2020"
"ErmstalEnergie Dettingen an der Erms GmbH & Co. KG Dettingen an der Erms";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"29.04.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"79fdf098d0ec25c9";"91322";"Wed Jul  8 22:31:28 2020"
"Seniorenzentrum ERMS Besitzgesellschaft mbH & Co. KG Metzingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"01.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"51b2ad6107913465";"91322";"Wed Jul  8 22:31:28 2020"
"Seniorenzentrum ERMS Projektentwicklungsgesellschaft mbH Metzingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"25.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5a39c0640ea3fc0a";"91322";"Wed Jul  8 22:31:28 2020"
"DR. ERMER GMBH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"25.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7365ba527d1aff40";"91322";"Wed Jul  8 22:31:28 2020"
