"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Easy-Tecs GmbH Karlsfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Berichtigung der Veröffentlichung vom 14.11.2018";"12.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1990ab0a1c04faaa";"35289";"Thu Jul  9 00:17:03 2020"
"Easy-Tecs GmbH Karlsfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Berichtigung der Veröffentlichung vom 15.11.2019";"07.05.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"62f896f6b3fa25fe";"35289";"Thu Jul  9 00:17:03 2020"
"Easy-Tecs GmbH Karlsfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Berichtigt am 07.05.2020";"15.11.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"83125c43fd39196e";"35289";"Thu Jul  9 00:17:03 2020"
"Easy-Tecs GmbH Karlsfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Berichtigt am 12.06.2020";"14.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b2708ead7b54e33e";"35289";"Thu Jul  9 00:17:03 2020"
"Easy-Tecs GmbH Karlsfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"08.09.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"eb021408769cd9fe";"35289";"Thu Jul  9 00:17:03 2020"
"Easy-Tecs GmbH Karlsfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"13.12.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"79fa93cabc7ba1c1";"35289";"Thu Jul  9 00:17:03 2020"
"Easy-Tecs GmbH Karlsfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"04.01.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f5e313021ca0fbe0";"35289";"Thu Jul  9 00:17:03 2020"
"Easy-Tecs GmbH Karlsfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"27.10.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"5198bbae13478357";"35289";"Thu Jul  9 00:17:03 2020"
"Easy-Tecs GmbH Karlsfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"07.01.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"dd2071b3898f9e9a";"35289";"Thu Jul  9 00:17:03 2020"
"Easy-Tecs GmbH Karlsfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011 Berichtigung der Veröffentlichung vom 25.01.2013";"21.02.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"6d34632894e18b36";"35289";"Thu Jul  9 00:17:03 2020"
"Easy-Tecs GmbH Karlsfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011 Berichtigt am 21.02.2013";"25.01.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"04a3ea9c94cd8216";"35289";"Thu Jul  9 00:17:03 2020"
"Easy-Tecs GmbH Karlsfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"24.02.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b821a0c325817617";"35289";"Thu Jul  9 00:17:03 2020"
"Easy-Tecs GmbH Karlsfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"09.02.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"abc07af7c17ad6f3";"35289";"Thu Jul  9 00:17:03 2020"
"Easy-Tecs GmbH Karlsfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"16.12.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3e9f73a708cd6e45";"35289";"Thu Jul  9 00:17:03 2020"
"Easy-Tecs GmbH Karlsfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 25.05.2007 bis zum 31.12.2007";"05.02.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"fd746f08fb244b30";"35289";"Thu Jul  9 00:17:03 2020"
