"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Econ - Tec GmbH Bruchsal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ebbda563cc66c286";"01975";"Wed Jul  8 23:31:07 2020"
"Econ - Tec GmbH Bruchsal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"30.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"86f98175ec3b480b";"01975";"Wed Jul  8 23:31:07 2020"
"Econ - Tec GmbH Bruchsal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"30.11.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"85ae40d0c7ae26d7";"01975";"Wed Jul  8 23:31:07 2020"
"Econ - Tec GmbH Bruchsal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"11.11.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"adddca72081196d7";"01975";"Wed Jul  8 23:31:07 2020"
"Econ - Tec GmbH Bruchsal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"18.08.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"cd9e1a50245baa25";"01975";"Wed Jul  8 23:31:07 2020"
"Econ - Tec GmbH Bruchsal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"20.10.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"97996e0a4f2d6fa4";"01975";"Wed Jul  8 23:31:07 2020"
"Econ - Tec GmbH Bruchsal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"13.01.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"cea94ae569128782";"01975";"Wed Jul  8 23:31:07 2020"
"Econ - Tec GmbH Bruchsal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"03.12.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e94130d05ec00075";"01975";"Wed Jul  8 23:31:07 2020"
"Econ - Tec GmbH Bruchsal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"06.01.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"682972438e71d390";"01975";"Wed Jul  8 23:31:07 2020"
"Econ - Tec GmbH Bruchsal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"10.01.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"6a58a9a73158462c";"01975";"Wed Jul  8 23:31:07 2020"
"Econ - Tec GmbH Bruchsal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 02.05.2008 bis zum 31.12.2008";"27.01.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"421c336fe0f82d7a";"01975";"Wed Jul  8 23:31:07 2020"
