"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Efficient Elements GmbH Neubiberg (vormals: Bietigheim-Bissingen)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9a49a27314071ca5";"54331";"Thu Jul  9 00:17:15 2020"
"Efficient Elements GmbH Bietigheim-Bissingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"24.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a212f012a26fdab9";"54331";"Thu Jul  9 00:17:15 2020"
"Efficient Elements GmbH Bietigheim-Bissingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"20.02.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f0f1ebdb8f590a9f";"54331";"Thu Jul  9 00:17:15 2020"
"Efficient Elements GmbH Bietigheim-Bissingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"22.12.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"9426b8793384cfd1";"54331";"Thu Jul  9 00:17:15 2020"
"Efficient Elements GmbH Bietigheim-Bissingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"25.01.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"46bd10f5478823be";"54331";"Thu Jul  9 00:17:15 2020"
"Efficient Elements GmbH Bietigheim-Bissingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"25.02.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a35c10deb7a0ec42";"54331";"Thu Jul  9 00:17:15 2020"
"Efficient Elements GmbH Bietigheim-Bissingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"09.01.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"68b8e17313e12972";"54331";"Thu Jul  9 00:17:15 2020"
"Efficient Elements GmbH Bietigheim-Bissingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"23.04.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"879137b25f5210d2";"54331";"Thu Jul  9 00:17:15 2020"
"Efficient Elements GmbH Bietigheim-Bissingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"06.01.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"302cd6ac5a54ce99";"54331";"Thu Jul  9 00:17:15 2020"
"Efficient Elements GmbH Bietigheim-Bissingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"05.01.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"530c39946f2b2533";"54331";"Thu Jul  9 00:17:15 2020"
"Efficient Elements GmbH Bietigheim-Bissingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 06.10.2008 bis zum 31.12.2008";"22.01.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"28dc2e9deaca0214";"54331";"Thu Jul  9 00:17:15 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"24.10.2019";"10%";"0d747c0b2dd5781887ce3d83356491d9";"b5f8bed031be15d7";"54331";"Thu Jul  9 00:17:15 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2018";"31.08.2018";"10%";"0d747c0b2dd5781887ce3d83356491d9";"73c6cf1508196636";"54331";"Thu Jul  9 00:17:15 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"29.12.2017";"5%";"0d747c0b2dd5781887ce3d83356491d9";"7c61767f2b936a7f";"54331";"Thu Jul  9 00:17:15 2020"
"CPI PROPERTY GROUP Luxembourg";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"21.09.2017";"5%";"0d747c0b2dd5781887ce3d83356491d9";"ec8f2e32c7ff06da";"54331";"Thu Jul  9 00:17:15 2020"
"Landesbank Baden-Württemberg Stuttgart";"Rechnungslegung/ Finanzberichte";"» Half-yearly financial report 2015";"13.04.2017";"5%";"0d747c0b2dd5781887ce3d83356491d9";"5a987ed493793d04";"54331";"Thu Jul  9 00:17:15 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2015";"02.10.2015";"5%";"0d747c0b2dd5781887ce3d83356491d9";"8ff96adf9da6210d";"54331";"Thu Jul  9 00:17:15 2020"
"Landwirtschaftliche Rentenbank Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2008";"14.10.2008";"5%";"0d747c0b2dd5781887ce3d83356491d9";"ebddaec002e6e919";"54331";"Thu Jul  9 00:17:15 2020"
"Beta Systems Software AG Berlin";"Rechnungslegung/ Finanzberichte";"» Quartalsbericht über das 1. Quartal 2007";"02.07.2007";"5%";"0d747c0b2dd5781887ce3d83356491d9";"1711802632927f8b";"54331";"Thu Jul  9 00:17:15 2020"
