"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"rentEvent Veranstaltungsproduktion GmbH Bernau bei Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"19.05.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c525ae645d524b22";"32140";"Wed Jul  8 22:47:10 2020"
"Event Rent GmbH Bocholt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"de6b1b747808e180";"32140";"Wed Jul  8 22:47:10 2020"
"Rent Event Tec GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"31.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"23dc9b1f8ecaae9b";"32140";"Wed Jul  8 22:47:10 2020"
"Event Rent GmbH Bocholt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Berichtigung der Veröffentlichung vom 18.12.2018";"31.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"4d1f55c135e5e365";"32140";"Wed Jul  8 22:47:10 2020"
"rentEvent Veranstaltungsproduktion GmbH Bernau bei Berlin (vormals: Berlin)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"29.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a3f1a4ad8b3fecda";"32140";"Wed Jul  8 22:47:10 2020"
"Top Rent Party und Event Service GmbH Langen (Hessen) (vormals: Mörfelden-Walldorf)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 27.02.2017 bis zum 31.12.2017";"07.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0511de212c2c7db1";"32140";"Wed Jul  8 22:47:10 2020"
"Event Rent GmbH Bocholt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Berichtigt am 31.05.2019";"18.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"4382bf9b49a39413";"32140";"Wed Jul  8 22:47:10 2020"
"Rent Event Tec GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"08.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"53cd6432e824d088";"32140";"Wed Jul  8 22:47:10 2020"
"rentEvent Veranstaltungsproduktion GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"17.04.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"30f6eea259d27c0c";"32140";"Wed Jul  8 22:47:10 2020"
"Event Rent GmbH Bocholt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"20.11.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"621ada615caa24b3";"32140";"Wed Jul  8 22:47:10 2020"
"Rent Event Tec GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"08.11.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"7cd2b44f91d3bc91";"32140";"Wed Jul  8 22:47:10 2020"
"rentEvent Veranstaltungsproduktion GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"09.03.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"151c71e1285b3b27";"32140";"Wed Jul  8 22:47:10 2020"
"Rent Event Tec GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"25.11.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0d21f511eb312c16";"32140";"Wed Jul  8 22:47:10 2020"
"Event Rent GmbH Bocholt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"08.07.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"177208da1a56d0df";"32140";"Wed Jul  8 22:47:10 2020"
"rentEvent Veranstaltungsproduktion GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"07.04.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d88edfd8ac959b05";"32140";"Wed Jul  8 22:47:10 2020"
