"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Schlosserei & Metallbau Fieg GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"23.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"bf34f48c129b523e";"00497";"Wed Jul  8 22:49:20 2020"
"Möbelspedition Fieger & Co. GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"13.05.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e4662e6926fc7319";"00497";"Wed Jul  8 22:49:20 2020"
"Fiege electronic GmbH Weinheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"21.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"eeda144e021ca8a6";"00497";"Wed Jul  8 22:49:20 2020"
"FIEGE Parcel&More GmbH Greven";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Fiege Logistik Holding Stiftung & Co. KG (Greven)";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c19248d69778d893";"00497";"Wed Jul  8 22:49:20 2020"
"Fiege Mega Center Logistik GmbH Ibbenbüren";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Fiege Logistik Holding Stiftung & Co. KG (Greven)";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"dff4acd617b9ba5d";"00497";"Wed Jul  8 22:49:20 2020"
"Fiege Insurance Services GmbH Greven";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Fiege Logistik Holding Stiftung & Co. KG (Greven)";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"654bf12ce4088064";"00497";"Wed Jul  8 22:49:20 2020"
"Fiege Logistik Wuppertal GmbH Wuppertal";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Fiege Logistik Holding Stiftung & Co. KG (Greven)";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8535d4c9c0582a37";"00497";"Wed Jul  8 22:49:20 2020"
"Fiege Insurance Services GmbH Greven";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Fiege Logistik Holding Stiftung & Co. KG (Greven)";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"49eaa11b58a02386";"00497";"Wed Jul  8 22:49:20 2020"
"Fiege Real Estate West GmbH & Co. KG Münster";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Fiege Logistik Holding Stiftung & Co. KG (Greven)";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9baca4c29d2fbca9";"00497";"Wed Jul  8 22:49:20 2020"
"Fiege Logistik Wuppertal GmbH Wuppertal";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Fiege Logistik Holding Stiftung & Co. KG (Greven)";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"eeb1a1ad89642c30";"00497";"Wed Jul  8 22:49:20 2020"
"Fiege Logistik Stiftung & Co. KG Greven";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Fiege Logistik Holding Stiftung & Co. KG (Greven)";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f841ec9141c06129";"00497";"Wed Jul  8 22:49:20 2020"
"Fiege Holding Schweiz GmbH Greven";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Fiege Logistik Holding Stiftung & Co. KG (Greven)";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"59aa4747b926ff60";"00497";"Wed Jul  8 22:49:20 2020"
"Fiege HealthCare Logistics GmbH Greven";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Fiege Logistik Holding Stiftung & Co. KG (Greven)";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2711e27e393e185d";"00497";"Wed Jul  8 22:49:20 2020"
"Fiege HealthCare Logistics GmbH Greven";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Fiege Logistik Holding Stiftung & Co. KG (Greven)";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"bd6bb7187f31f0e3";"00497";"Wed Jul  8 22:49:20 2020"
"FIEGE Parcel&More GmbH Greven";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Fiege Logistik Holding Stiftung & Co. KG (Greven)";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"377f03514d983680";"00497";"Wed Jul  8 22:49:20 2020"
"Fiege Holding Schweiz GmbH Greven";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Fiege Logistik Holding Stiftung & Co. KG (Greven)";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7aa7485ca6334bef";"00497";"Wed Jul  8 22:49:20 2020"
"Fiege relog GmbH Greven";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Fiege Logistik Holding Stiftung & Co. KG (Greven)";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ce1090c905bc3e15";"00497";"Wed Jul  8 22:49:20 2020"
"FIEGE Forwarding Germany GmbH Greven";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Fiege Logistik Holding Stiftung & Co. KG (Greven)";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"46da4b05546bdecf";"00497";"Wed Jul  8 22:49:20 2020"
"FIEGE Forwarding Germany GmbH Greven";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Fiege Logistik Holding Stiftung & Co. KG (Greven)";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"846229636ec8fd90";"00497";"Wed Jul  8 22:49:20 2020"
"Fiege relog GmbH Greven";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Fiege Logistik Holding Stiftung & Co. KG (Greven)";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a9644c4a6e973318";"00497";"Wed Jul  8 22:49:20 2020"
