"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"FIT Gesellschaft für gesundes Reisen mit beschränkter Haftung Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"14.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"95cc02d76e1e6dcf";"50239";"Wed Jul  8 23:02:41 2020"
"FIT Gesellschaft für gesundes Reisen mit beschränkter Haftung Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"08.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6a98b0dbcb8a7bfa";"50239";"Wed Jul  8 23:02:41 2020"
"FIT Gesellschaft für gesundes Reisen mit beschränkter Haftung Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.12.2017";"99%";"0d747c0b2dd5781887ce3d83356491d9";"60a86bc46b316209";"50239";"Wed Jul  8 23:02:41 2020"
"FIT Gesellschaft für gesundes Reisen mit beschränkter Haftung Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"24.02.2017";"99%";"0d747c0b2dd5781887ce3d83356491d9";"b3e3b5fef342d6a3";"50239";"Wed Jul  8 23:02:41 2020"
"FIT Gesellschaft für gesundes Reisen mit beschränkter Haftung Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"15.01.2016";"99%";"0d747c0b2dd5781887ce3d83356491d9";"a3b749653fd50091";"50239";"Wed Jul  8 23:02:41 2020"
"FIT Gesellschaft für gesundes Reisen mit beschränkter Haftung Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"23.01.2015";"99%";"0d747c0b2dd5781887ce3d83356491d9";"f5e8647cd82291db";"50239";"Wed Jul  8 23:02:41 2020"
"FIT Gesellschaft für gesundes Reisen mit beschränkter Haftung Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"28.01.2014";"99%";"0d747c0b2dd5781887ce3d83356491d9";"cda5df338f421153";"50239";"Wed Jul  8 23:02:41 2020"
"FIT Gesellschaft für gesundes Reisen mit beschränkter Haftung Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"04.02.2013";"99%";"0d747c0b2dd5781887ce3d83356491d9";"6a01ca1436e50f78";"50239";"Wed Jul  8 23:02:41 2020"
"FIT Gesellschaft für gesundes Reisen mit beschränkter Haftung Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"02.02.2012";"99%";"0d747c0b2dd5781887ce3d83356491d9";"7cdd72ea9c42ad5c";"50239";"Wed Jul  8 23:02:41 2020"
"FIT Gesellschaft für gesundes Reisen mit beschränkter Haftung Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"09.02.2011";"99%";"0d747c0b2dd5781887ce3d83356491d9";"3190264c2e02cfbc";"50239";"Wed Jul  8 23:02:41 2020"
"FIT Gesellschaft für gesundes Reisen mit beschränkter Haftung Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"13.01.2010";"99%";"0d747c0b2dd5781887ce3d83356491d9";"30d32be0eb28aa86";"50239";"Wed Jul  8 23:02:41 2020"
"FIT Gesellschaft für gesundes Reisen mit beschränkter Haftung Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"02.02.2009";"99%";"0d747c0b2dd5781887ce3d83356491d9";"19125a2d9000007c";"50239";"Wed Jul  8 23:02:41 2020"
