"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"FOENIX GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"20f4e93dd33326d1";"05904";"Wed Jul  8 22:52:36 2020"
"FOENIX GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"20.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"52750b9106f85073";"05904";"Wed Jul  8 22:52:36 2020"
"FOENIX GmbH Wedemark";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"19.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"1ab4113eee08f29b";"05904";"Wed Jul  8 22:52:36 2020"
"FOENIX GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"28.04.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"05243518c4d65e98";"05904";"Wed Jul  8 22:52:36 2020"
"FOENIX GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"26.04.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ca03929fbd8f4ef3";"05904";"Wed Jul  8 22:52:36 2020"
"Fönix 3 GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"21.04.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"77c853c7410ec363";"05904";"Wed Jul  8 22:52:36 2020"
"FOENIX GmbH Hannover (vormals: Wedemark)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"16.12.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"85aafe0fb2fc50fe";"05904";"Wed Jul  8 22:52:36 2020"
"FOENIX GmbH Hannover (vormals: Wedemark)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"13.12.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"cddfa2f8a91c0016";"05904";"Wed Jul  8 22:52:36 2020"
"Foenix GmbH Flensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2011 bis zum 30.06.2012";"27.06.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"738d5f2c90a8ad03";"05904";"Wed Jul  8 22:52:36 2020"
"Foenix Metall GmbH Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"17.05.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"4659e338fc8a8401";"05904";"Wed Jul  8 22:52:36 2020"
"Fönix 3 GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"24.01.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2af660ff3f7ba648";"05904";"Wed Jul  8 22:52:36 2020"
