"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"faktum Bauprodukte GmbH Freudenberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"07.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0fd69c872808a3ec";"59305";"Thu Jul  9 00:11:41 2020"
"Faktum GmbH Personalentwicklung und -vermittlung Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"07.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8d9665b520fb4b90";"59305";"Thu Jul  9 00:11:41 2020"
"RaumFaktum-Rheinland GmbH Langenfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"28.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fd781c52244baffc";"59305";"Thu Jul  9 00:11:41 2020"
"DE-faktum GmbH (vormals: ACTIVO-MED GmbH) Mechtersen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1ef70ee3d7bc198f";"59305";"Thu Jul  9 00:11:41 2020"
"faktum-b GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a2c4fdc303677643";"59305";"Thu Jul  9 00:11:41 2020"
"faktum-b real estate GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"02.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f4e46dc4aaa52cfb";"59305";"Thu Jul  9 00:11:41 2020"
"faktum Bauprodukte GmbH Freudenberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"29.04.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9c5a6eb8921f910c";"59305";"Thu Jul  9 00:11:41 2020"
"Faktum GmbH Personalentwicklung und -vermittlung Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"22.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"bfcce6b0231f055d";"59305";"Thu Jul  9 00:11:41 2020"
"RaumFaktum-Rheinland GmbH Langenfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"16.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"846d2febccb26db9";"59305";"Thu Jul  9 00:11:41 2020"
"faktum-b GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"62f8f1ed48bb8ad4";"59305";"Thu Jul  9 00:11:41 2020"
"faktum-b real estate GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"22.06.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a89a212f7edaba3b";"59305";"Thu Jul  9 00:11:41 2020"
"Faktum GmbH Personalentwicklung und -vermittlung Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"25.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c2788749d737e588";"59305";"Thu Jul  9 00:11:41 2020"
"RaumFaktum-Rheinland GmbH Langenfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"17.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"fd1993552e6fbc00";"59305";"Thu Jul  9 00:11:41 2020"
"faktum-b real estate GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.11.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e04f9418d33511da";"59305";"Thu Jul  9 00:11:41 2020"
"FAKTUM Gesellschaft für erfolgreiche Werbung mbH Heidelberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"02.03.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"537835cc39d03823";"59305";"Thu Jul  9 00:11:41 2020"
"Faktum GmbH Personalentwicklung und -vermittlung Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"23.01.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"294add763f69913b";"59305";"Thu Jul  9 00:11:41 2020"
"RaumFaktum-Rheinland GmbH Langenfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"17.01.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ca5634bc3b83d34c";"59305";"Thu Jul  9 00:11:41 2020"
"faktum-b real estate GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"15.11.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0cff38b3293de016";"59305";"Thu Jul  9 00:11:41 2020"
"Faktum Finance GmbH Offenbach am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"17.03.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"84ce8885b2a18ecc";"59305";"Thu Jul  9 00:11:41 2020"
