"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Five-T Communication GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"07.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c55ffef06a26a256";"98515";"Wed Jul  8 22:53:00 2020"
"Five-T Communication GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"14.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1d3e21bf2986736f";"98515";"Wed Jul  8 22:53:00 2020"
"Five-T Communication GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"11.12.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"7ac155bff1f213d7";"98515";"Wed Jul  8 22:53:00 2020"
"Five-T Communication GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"10.02.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"562e248c303dcada";"98515";"Wed Jul  8 22:53:00 2020"
"Five-T Communication GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"21.01.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"a60a85ffa3f74fac";"98515";"Wed Jul  8 22:53:00 2020"
"Five-T Communication GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"18.02.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"171007eba4ece232";"98515";"Wed Jul  8 22:53:00 2020"
"Five-T Communication GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"28.02.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"dca9e04f23548b70";"98515";"Wed Jul  8 22:53:00 2020"
"Five-T Communication GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"23.02.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"00cba4fea5738565";"98515";"Wed Jul  8 22:53:00 2020"
"Five-T Communication GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"14.03.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"8e61e800f1263400";"98515";"Wed Jul  8 22:53:00 2020"
"Five-T Communication GmbH Hamburg (vormals: Ahrensburg)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"15.10.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"1e9837755a86bdcf";"98515";"Wed Jul  8 22:53:00 2020"
"Five-T Communication GmbH Hamburg  (vormals: Ahrensburg )";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 15.04.2008 bis zum 31.12.2008";"30.03.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"7b9c9d62c83f15bb";"98515";"Wed Jul  8 22:53:00 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"24.10.2019";"7%";"0d747c0b2dd5781887ce3d83356491d9";"7fa3428ced725173";"98515";"Wed Jul  8 22:53:00 2020"
"biolitec AG Jena";"Rechnungslegung/ Finanzberichte";"» 9 Months Report 2007/2008";"22.08.2008";"4%";"0d747c0b2dd5781887ce3d83356491d9";"6480a1cf47b6c904";"98515";"Wed Jul  8 22:53:00 2020"
