"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Forum Reisen GmbH Neuried";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"02.06.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"42c167506f1083ac";"83483";"Wed Jul  8 23:25:32 2020"
"Forum Reisen GmbH Neuried";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"09.02.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"5605d5d451f7acb1";"83483";"Wed Jul  8 23:25:32 2020"
"Forum Reisen GmbH Neuried";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"19.02.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"17710fb26237e75c";"83483";"Wed Jul  8 23:25:32 2020"
"Forum Reisen GmbH Neuried";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"13.12.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d81263185e10e94f";"83483";"Wed Jul  8 23:25:32 2020"
"Forum Reisen GmbH Neuried";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"22.02.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"19f7fbd418b49c71";"83483";"Wed Jul  8 23:25:32 2020"
"Forum Reisen GmbH Freiburg im Breisgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"21.01.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"be8a2d573afcd6f5";"83483";"Wed Jul  8 23:25:32 2020"
"Forum Reisen GmbH Neuried";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"02.04.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"930c6bf24f77f1e8";"83483";"Wed Jul  8 23:25:32 2020"
"Forum Reisen GmbH Freiburg im Breisgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"22.02.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a871be1d6946446b";"83483";"Wed Jul  8 23:25:32 2020"
"Forum Reisen GmbH Neuried";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"20.06.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"18e6fc3add5a1161";"83483";"Wed Jul  8 23:25:32 2020"
"Forum Reisen GmbH Freiburg im Breisgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"21.01.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"29e69505ecd39d7f";"83483";"Wed Jul  8 23:25:32 2020"
