"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Fraport AG Frankfurt Airport Services Worldwide Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Ergänzung der Veröffentlichung vom 05.05.2020";"07.07.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fff7efe24c418bd4";"01633";"Wed Jul  8 22:45:48 2020"
"Fraport AG Frankfurt Airport Services Worldwide Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Ergänzt am 07.07.2020";"05.05.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9819aee8ac966f05";"01633";"Wed Jul  8 22:45:48 2020"
"Fraport AG Frankfurt Airport Services Worldwide Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"14.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ac5aab5631670370";"01633";"Wed Jul  8 22:45:48 2020"
"AirIT Services GmbH, Lautzenhausen; Airport Assekuranz Vermittlungs-GmbH, Neu-Isenburg; Airport Cater Service GmbH, Frankfurt am Main; Flughafen-Kanalreinigungsgesellschaft mbH, Kelsterbach; FraGround Fraport Ground Services GmbH, Frankfurt am Main; Frankfurter Kanalreinigungsgesellschaft mbH, Kelsterbach; Fraport Ausbau Süd GmbH, Frankfurt am Main; Fraport Brasil Holding GmbH, Frankfurt am Main; Fraport Casa GmbH, Neu-Isenburg; Fraport Passenger Services GmbH, Frankfurt am Main; FRA - Vorfeldkontrolle GmbH, Kelsterbach";"Wed Jul  8 22:45:48 2020";"";"";"";"";"";"";""
"Fraport AG Frankfurt Airport Services Worldwide Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Ergänzung der Veröffentlichung vom 21.05.2019";"12.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1e2e0e0526166a41";"01633";"Wed Jul  8 22:45:48 2020"
"Fraport AG Frankfurt Airport Services Worldwide Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Ergänzung der Veröffentlichung vom 16.05.2019";"03.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"89ea5747c848b5a4";"01633";"Wed Jul  8 22:45:48 2020"
"Airport Assekuranz Vermittlungs-GmbH, Neu-Isenburg; Airport Cater Service GmbH, Frankfurt am Main; Energy Air GmbH, Frankfurt am Main; Flughafen-Kanalreinigungsgesellschaft mbH, Kelsterbach; FraGround Fraport Ground Services GmbH, Frankfurt am Main; Frankfurter Kanalreinigungsgesellschaft mbH, Kelsterbach; Fraport Ausbau Süd GmbH, Frankfurt am Main; Fraport Casa GmbH, Neu-Isenburg; Fraport Passenger Services GmbH, Frankfurt am Main; FRA - Vorfeldkontrolle GmbH, Kelsterbach";"Wed Jul  8 22:45:48 2020";"";"";"";"";"";"";""
"Fraport AG Frankfurt Airport Services Worldwide Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Ergänzt am 12.07.2019";"21.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2a52080b81da3bdb";"01633";"Wed Jul  8 22:45:48 2020"
"Fraport AG Frankfurt Airport Services Worldwide Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Ergänzt am 03.07.2019";"16.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f1030ee191df343f";"01633";"Wed Jul  8 22:45:48 2020"
"Airport Assekuranz Vermittlungs-GmbH, Neu-Isenburg; Airport Cater Service GmbH, Frankfurt am Main; Energy Air GmbH, Frankfurt am Main; Flughafen-Kanalreinigungsgesellschaft mbH, Kelsterbach; FraGround Fraport Ground Services GmbH, Frankfurt am Main; Frankfurter Kanalreinigungsgesellschaft mbH, Kelsterbach; Fraport Ausbau Süd GmbH, Frankfurt am Main; Fraport Casa GmbH, Neu-Isenburg; Fraport Passenger Services GmbH, Frankfurt am Main; FRA - Vorfeldkontrolle GmbH, Kelsterbach";"Wed Jul  8 22:45:48 2020";"";"";"";"";"";"";""
"Fraport AG Frankfurt Airport Services Worldwide Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Ergänzung der Veröffentlichung vom 23.05.2018";"10.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"675f0b13be7a1003";"01633";"Wed Jul  8 22:45:48 2020"
"Fraport AG Frankfurt Airport Services Worldwide Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Ergänzung der Veröffentlichung vom 16.05.2018";"04.07.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"49802161c0d40903";"01633";"Wed Jul  8 22:45:48 2020"
"Airport Assekuranz Vermittlungs-GmbH, Neu-Isenburg; Airport Cater Service GmbH, Frankfurt am Main; Energy Air GmbH, Frankfurt am Main; Flughafen-Kanalreinigungsgesellschaft mbH, Kelsterbach; FraGround Fraport Ground Services GmbH, Frankfurt am Main; Frankfurter Kanalreinigungsgesellschaft mbH, Kelsterbach; Fraport Ausbau Süd GmbH, Frankfurt am Main; Fraport Casa GmbH, Neu-Isenburg; Fraport Passenger Services GmbH, Frankfurt am Main; FRA - Vorfeldkontrolle GmbH, Kelsterbach";"Wed Jul  8 22:45:48 2020";"";"";"";"";"";"";""
"Fraport AG Frankfurt Airport Services Worldwide Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Ergänzt am 10.07.2018";"23.05.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"065e29648491bf96";"01633";"Wed Jul  8 22:45:48 2020"
"Fraport AG Frankfurt Airport Services Worldwide Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Ergänzt am 04.07.2018";"16.05.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"8627eb95784876c7";"01633";"Wed Jul  8 22:45:48 2020"
"Airport Assekuranz Vermittlungs-GmbH, Neu-Isenburg; Airport Cater Service GmbH, Frankfurt am Main; Energy Air GmbH, Frankfurt am Main; Flughafen-Kanalreinigungsgesellschaft mbH, Kelsterbach; FraGround Fraport Ground Services GmbH, Frankfurt am Main; Frankfurter Kanalreinigungsgesellschaft mbH, Kelsterbach; Fraport Ausbau Süd GmbH, Frankfurt am Main; Fraport Casa GmbH, Neu-Isenburg; Fraport Passenger Services GmbH, Frankfurt am Main; FRA - Vorfeldkontrolle GmbH, Kelsterbach";"Wed Jul  8 22:45:48 2020";"";"";"";"";"";"";""
"Fraport AG Frankfurt Airport Services Worldwide Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Ergänzung der Veröffentlichung vom 17.05.2017";"27.06.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e12e02d67c80b421";"01633";"Wed Jul  8 22:45:48 2020"
"Airport Assekuranz Vermittlungs-GmbH, Neu-Isenburg; Airport Cater Service GmbH, Frankfurt am Main; Energy Air GmbH, Frankfurt am Main; Flughafen-Kanalreinigungsgesellschaft mbH, Kelsterbach; Frankfurter Kanalreinigungsgesellschaft mbH, Kelsterbach; Fraport Casa GmbH, Neu-Isenburg; Fraport Passenger Services GmbH, Frankfurt am Main; FRA - Vorfeldkontrolle GmbH, Kelsterbach";"Wed Jul  8 22:45:48 2020";"";"";"";"";"";"";""
"Fraport AG Frankfurt Airport Services Worldwide Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Ergänzung der Veröffentlichung vom 27.04.2017";"31.05.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"f1d63db339b20d50";"01633";"Wed Jul  8 22:45:48 2020"
"Fraport AG Frankfurt Airport Services Worldwide Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Ergänzt am 27.06.2017";"17.05.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e32fac72dc008261";"01633";"Wed Jul  8 22:45:48 2020"
"Airport Assekuranz Vermittlungs-GmbH, Neu-Isenburg; Airport Cater Service GmbH, Frankfurt am Main; Energy Air GmbH, Frankfurt am Main; Flughafen-Kanalreinigungsgesellschaft mbH, Kelsterbach; Frankfurter Kanalreinigungsgesellschaft mbH, Kelsterbach; Fraport Casa GmbH, Neu-Isenburg; Fraport Passenger Services GmbH, Frankfurt am Main; FRA - Vorfeldkontrolle GmbH, Kelsterbach";"Wed Jul  8 22:45:48 2020";"";"";"";"";"";"";""
"Fraport AG Frankfurt Airport Services Worldwide Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Ergänzt am 31.05.2017";"27.04.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2e83d8e8957afe99";"01633";"Wed Jul  8 22:45:48 2020"
"Fraport AG Frankfurt Airport Services Worldwide Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 Ergänzung der Veröffentlichung vom 12.04.2016";"23.06.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a68cd5e54238e050";"01633";"Wed Jul  8 22:45:48 2020"
