"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Frilo Software GmbH (Stuttgart) München";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Nemetschek SE (München)";"06.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"971c79e4d9b7e126";"11580";"Thu Jul  9 00:16:36 2020"
"Nemetschek SE München";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"09.06.2020";"0d747c0b2dd5781887ce3d83356491d9";"971c79e4d9b7e126";"11580";"Thu Jul  9 00:16:36 2020";"";""
"Frilo Software GmbH (Stuttgart) München";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Nemetschek SE (München)";"30.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"77f818b08c02dd43";"11580";"Thu Jul  9 00:16:36 2020"
"Nemetschek SE München";"» Jahres- und Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"12.06.2019";"0d747c0b2dd5781887ce3d83356491d9";"77f818b08c02dd43";"11580";"Thu Jul  9 00:16:36 2020";"";""
"Frilo Software GmbH (Stuttgart) München";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Nemetschek SE (München)";"26.10.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"39e617d3549d389f";"11580";"Thu Jul  9 00:16:36 2020"
"Nemetschek SE München";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Berichtigung der Veröffentlichung vom 23.05.2018";"25.06.2018";"0d747c0b2dd5781887ce3d83356491d9";"39e617d3549d389f";"11580";"Thu Jul  9 00:16:36 2020";"";""
"Nemetschek SE München";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Berichtigt am 25.06.2018";"23.05.2018";"0d747c0b2dd5781887ce3d83356491d9";"39e617d3549d389f";"11580";"Thu Jul  9 00:16:36 2020";"";""
"Frilo Software GmbH (Stuttgart) München";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Nemetschek SE (München) Berichtigung der Veröffentlichung vom 15.06.2016";"16.03.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3b89ee734b0394ee";"11580";"Thu Jul  9 00:16:36 2020"
"Nemetschek SE München";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Berichtigung der Veröffentlichung vom 12.06.2017";"11.07.2018";"0d747c0b2dd5781887ce3d83356491d9";"3b89ee734b0394ee";"11580";"Thu Jul  9 00:16:36 2020";"";""
"Nemetschek SE München";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Berichtigt am 11.07.2018";"12.06.2017";"0d747c0b2dd5781887ce3d83356491d9";"3b89ee734b0394ee";"11580";"Thu Jul  9 00:16:36 2020";"";""
"Frilo Software GmbH (Stuttgart) München";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Nemetschek SE (München) Berichtigt am 16.03.2017";"15.06.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d7f5f2038f1d4bbb";"11580";"Thu Jul  9 00:16:36 2020"
"Nemetschek SE München";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Berichtigung der Veröffentlichung vom 12.06.2017";"11.07.2018";"0d747c0b2dd5781887ce3d83356491d9";"d7f5f2038f1d4bbb";"11580";"Thu Jul  9 00:16:36 2020";"";""
"Nemetschek SE München";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Berichtigt am 11.07.2018";"12.06.2017";"0d747c0b2dd5781887ce3d83356491d9";"d7f5f2038f1d4bbb";"11580";"Thu Jul  9 00:16:36 2020";"";""
"Frilo Software GmbH (Stuttgart) München";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 Nemetschek Aktiengesellschaft (München)";"25.08.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"14f8259e32665c4f";"11580";"Thu Jul  9 00:16:36 2020"
"Nemetschek SE München";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"09.06.2020";"40%";"0d747c0b2dd5781887ce3d83356491d9";"3cc159b88b06e923";"11580";"Thu Jul  9 00:16:36 2020"
"Allplan Deutschland GmbH, München; Allplan Development Germany GmbH, München; Allplan GmbH, München; Frilo Software GmbH, Stuttgart; Graphisoft Deutschland GmbH, München";"Thu Jul  9 00:16:36 2020";"";"";"";"";"";"";""
"Nemetschek SE München";"Rechnungslegung/ Finanzberichte";"» Jahres- und Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"12.06.2019";"40%";"0d747c0b2dd5781887ce3d83356491d9";"6b9a2a50fa6886e1";"11580";"Thu Jul  9 00:16:36 2020"
"Allplan Deutschland GmbH, München; Allplan Development Germany GmbH, München; Allplan GmbH, München; Frilo Software GmbH, Stuttgart; Graphisoft Deutschland GmbH, München";"Thu Jul  9 00:16:36 2020";"";"";"";"";"";"";""
"Nemetschek SE München";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Berichtigung der Veröffentlichung vom 12.06.2017";"11.07.2018";"40%";"0d747c0b2dd5781887ce3d83356491d9";"8af27d405c544b0a";"11580";"Thu Jul  9 00:16:36 2020"
"Allplan Deutschland GmbH, München; Allplan GmbH, München; Frilo Software GmbH, Stuttgart; Graphisoft Deutschland GmbH, München";"Thu Jul  9 00:16:36 2020";"";"";"";"";"";"";""
