"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"GEOGRAT Informationssystem GmbH Ellingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8d5b74830a4ba805";"19964";"Wed Jul  8 23:52:07 2020"
"GEOGRAT Informationssystem GmbH Ellingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"27.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"01e6cf50008f84df";"19964";"Wed Jul  8 23:52:07 2020"
"GEOGRAT Informationssystem GmbH Ellingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"09.11.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2a9ddf372c9406a1";"19964";"Wed Jul  8 23:52:07 2020"
"GEOGRAT Informationssystem GmbH Ellingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"07.11.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"26e56b239fd595df";"19964";"Wed Jul  8 23:52:07 2020"
"GEOGRAT Informationssystem GmbH Ellingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"15.07.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a364081ad435fc7e";"19964";"Wed Jul  8 23:52:07 2020"
"GEOGRAT Informationssystem GmbH Ellingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"30.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1735823bb3fa826d";"19964";"Wed Jul  8 23:52:07 2020"
"GEOGRAT Informationssystem GmbH Ellingen (vormals: Weißenburg i. Bay.)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"11.11.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"4794bc1c9d915bc8";"19964";"Wed Jul  8 23:52:07 2020"
"GEOGRAT Informationssystem GmbH Weißenburg i. Bay.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"04.01.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c5d3c5c71c54d98b";"19964";"Wed Jul  8 23:52:07 2020"
"GEOGRAT Informationssystem GmbH Weißenburg i. Bay.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010 Ergänzung der Veröffentlichung vom 15.02.2012";"16.03.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"38ee86cefd0f4c22";"19964";"Wed Jul  8 23:52:07 2020"
"GEOGRAT Informationssystem GmbH Weißenburg i. Bay.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010 Ergänzt am 16.03.2012";"15.02.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b3f547efc9892f6e";"19964";"Wed Jul  8 23:52:07 2020"
"GEOGRAT Informationssystem GmbH Weißenburg i. Bay.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"20.01.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"6f5aa8ec0132b8af";"19964";"Wed Jul  8 23:52:07 2020"
"GEOGRAT Informationssystem GmbH Weißenburg i. Bay.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"03.12.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"946e531c8fe47ef1";"19964";"Wed Jul  8 23:52:07 2020"
"GEOGRAT Informationssystem GmbH Weißenburg i. Bay.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"10.02.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"02c9bcfc3ce4f0af";"19964";"Wed Jul  8 23:52:07 2020"
