"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"GIP Exyr GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e8f55717d481b64a";"97984";"Wed Jul  8 23:59:33 2020"
"GIP Exyr GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"15.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"cd6650cbd49612b2";"97984";"Wed Jul  8 23:59:33 2020"
"GIP Exyr GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"24.11.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"7ff8790989ebd412";"97984";"Wed Jul  8 23:59:33 2020"
"GIP Exyr GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"04.01.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"7684261551381d40";"97984";"Wed Jul  8 23:59:33 2020"
"GIP Exyr GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"03.02.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"00558d5a69adcc65";"97984";"Wed Jul  8 23:59:33 2020"
"GIP Exyr GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"11.11.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"46fc4340877bb0ee";"97984";"Wed Jul  8 23:59:33 2020"
"GIP Exyr GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"04.10.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"4c3ded6fd9458baf";"97984";"Wed Jul  8 23:59:33 2020"
"GIP Exyr GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"25.10.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"6ef20fbf26677bd9";"97984";"Wed Jul  8 23:59:33 2020"
"GIP Exyr GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"09.11.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1c65b1af646b3b23";"97984";"Wed Jul  8 23:59:33 2020"
"GIP Exyr GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"17.09.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"eacd3c3c0c6ee11c";"97984";"Wed Jul  8 23:59:33 2020"
"GIP Exyr GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"28.10.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"32ef395ce03fa543";"97984";"Wed Jul  8 23:59:33 2020"
"GIP Exyr GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"25.11.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d2eeeedb0e9fc887";"97984";"Wed Jul  8 23:59:33 2020"
"GIP Exyr GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"28.09.2007";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d08b75b1cf03946c";"97984";"Wed Jul  8 23:59:33 2020"
